sa2_maincode_2016,p_tot_marrd_reg_marrge,p_tot_married_de_facto,p_tot_not_married,p_tot_total,registered_marriage_percent,defacto_percent,not_married_percent
102021048,6456,1748,7700,15903,0.40596113940765893,0.10991636798088411,0.4841853738288373
102021049,1302,232,786,2318,0.5616911130284729,0.1000862812769629,0.33908541846419327
102021050,3965,857,3401,8225,0.48206686930091186,0.10419452887537994,0.4134954407294833
102021051,1804,377,1401,3585,0.503207810320781,0.10516039051603905,0.3907949790794979
102021052,2083,570,1677,4329,0.4811734811734812,0.13167013167013167,0.38738738738738737
102021053,4291,1186,5690,11165,0.3843260188087774,0.10622480967308554,0.509628302731751
102021054,2947,773,3381,7104,0.4148367117117117,0.10881193693693694,0.47592905405405406
102021055,1824,405,1541,3775,0.4831788079470199,0.10728476821192053,0.4082119205298013
102021056,5498,1026,3848,10367,0.530336645123951,0.09896787884633934,0.371177775634224
102021057,2483,656,3173,6308,0.3936271401395054,0.10399492707672796,0.5030120481927711
103011058,6763,1825,7331,15926,0.4246515132487756,0.11459249026748713,0.46031646364435513
103011059,3744,867,2838,7454,0.5022806546820499,0.11631338878454521,0.38073517574456667
103011060,2579,477,1565,4618,0.5584668687743612,0.10329146816803811,0.33889129493287135
103011061,1530,390,1204,3120,0.49038461538461536,0.125,0.3858974358974359
103021062,2087,547,1669,4306,0.48467254993032977,0.12703204830469114,0.387598699489085
103021063,2982,708,2764,6453,0.4621106462110646,0.1097164109716411,0.4283279094994576
103021064,1978,413,1502,3890,0.5084832904884319,0.10616966580976864,0.3861182519280206
103021065,3450,675,2741,6872,0.5020372526193247,0.09822467986030267,0.39886495925494764
103021066,1391,217,959,2569,0.5414558193849747,0.08446866485013624,0.37329700272479566
103021067,3398,811,3137,7338,0.4630689561188335,0.11052057781411828,0.4275006813845735
103021068,1192,188,934,2311,0.5157940285590653,0.08135006490696668,0.4041540458675898
103021069,2070,347,1473,3889,0.5322705065569555,0.0892260221136539,0.37876060683980456
103031070,3822,872,4217,8907,0.4291007073088582,0.09790052767486247,0.47344785000561357
103031071,2796,626,2147,5571,0.501884760366182,0.11236761802189912,0.385388619637408
103031072,3653,1048,3074,7775,0.4698392282958199,0.1347909967845659,0.39536977491961417
103031073,1059,306,1056,2420,0.43760330578512396,0.12644628099173555,0.43636363636363634
103031074,3580,799,2445,6826,0.5244652798124817,0.11705244652798125,0.3581892762965133
103031075,0,0,0,0,0.0,0.0,0.0
103041076,2567,564,1906,5042,0.5091233637445458,0.11186037286790956,0.37802459341531136
103041077,5474,1334,6190,13003,0.42097977389833113,0.10259170960547566,0.4760439898484965
103041078,6833,1549,4917,13303,0.5136435390513419,0.11643990077426145,0.3696158761181688
103041079,4728,701,2545,7976,0.5927783350050151,0.08788866599799398,0.3190822467402207
104011080,5606,1327,6024,12960,0.43256172839506174,0.10239197530864197,0.4648148148148148
104011081,5429,1314,4323,11061,0.49082361450140133,0.11879576891781937,0.39083265527529154
104011082,6125,1343,4755,12217,0.5013505770647458,0.10992878775476794,0.38921175411312103
104021083,1710,653,1675,4031,0.4242123542545274,0.16199454229719673,0.4155296452493178
104021084,5263,1361,5809,12438,0.423138768290722,0.10942273677440104,0.4670365010451841
104021085,2854,764,3410,7027,0.4061477159527537,0.10872349509036573,0.48527109719652767
104021086,1413,314,952,2682,0.5268456375838926,0.11707680835197613,0.35495898583146906
104021087,985,317,999,2303,0.42770299609205387,0.13764654798089448,0.43378202344767697
104021088,3404,771,2002,6171,0.5516123804893859,0.12493923189110355,0.3244206773618538
104021089,6772,1502,5978,14256,0.47502805836139167,0.1053591470258137,0.4193322109988777
104021090,1626,426,1458,3505,0.46390870185449357,0.12154065620542083,0.4159771754636234
104021091,4377,1021,3583,8980,0.48741648106904234,0.11369710467706014,0.3989977728285078
105011092,744,445,1154,2340,0.31794871794871793,0.19017094017094016,0.4931623931623932
105011093,1328,487,1144,2962,0.4483457123565159,0.16441593517893316,0.38622552329507087
105011094,1096,310,1158,2568,0.42679127725856697,0.12071651090342679,0.45093457943925236
105011095,1541,389,1324,3250,0.47415384615384615,0.1196923076923077,0.4073846153846154
105011096,1386,643,2127,4158,0.3333333333333333,0.15464165464165464,0.5115440115440115
105021097,5171,1432,5927,12532,0.4126236833705713,0.11426747526332588,0.47294924992020426
105021098,548,221,761,1527,0.35887360838244925,0.14472822527832352,0.49836280288146695
105031099,2671,558,2193,5418,0.4929863418235511,0.10299003322259136,0.40476190476190477
