Data Item,Statistical Area Level 2 (SA2) (2016 ASGS),SA2 Code (2016 ASGS),Mar-19,Jun-19,Sep-19,Dec-19
Smoothed unemployment rate (%),Gunnedah,110041199,6.8,5.5,4.5,4.3
Smoothed unemployment rate (%),Gunnedah Region,110041200,5.1,4.4,4,3.9
Smoothed unemployment rate (%),Quirindi,110041201,6.8,5.7,4.8,4.6
Smoothed unemployment rate (%),Tamworth - East,110041202,6.4,5.1,4.3,4.1
Smoothed unemployment rate (%),Tamworth - North,110041203,5,4,3.3,3.1
Smoothed unemployment rate (%),Tamworth - West,110041204,14.9,12.2,10.4,9.9
Smoothed unemployment rate (%),Tamworth Region,110041205,3.7,3,2.5,2.4
Smoothed unemployment rate (%),Belmont - Bennetts Green,111011206,4.6,4.3,3.7,3.9
Smoothed unemployment rate (%),Belmont South - Blacksmiths,111011207,6.5,6.2,5.5,5.6
Smoothed unemployment rate (%),Charlestown - Dudley,111011208,4.5,4.2,3.7,3.9
Smoothed unemployment rate (%),Glendale - Cardiff - Hillsborough,111011209,4.5,4.1,3.7,3.9
Smoothed unemployment rate (%),Mount Hutton - Windale,111011210,11.6,10.8,9.6,9.9
Smoothed unemployment rate (%),Redhead,111011211,3.3,3.2,2.7,2.9
Smoothed unemployment rate (%),Swansea - Caves Beach,111011212,4.7,4.4,3.9,4.1
Smoothed unemployment rate (%),Valentine - Eleebana,111011213,1.8,1.6,1.4,1.4
Smoothed unemployment rate (%),Warners Bay - Boolaroo,111011214,3.8,3.7,3.2,3.4
Smoothed unemployment rate (%),Bolton Point - Teralba,111021215,8.4,7.9,7.1,7.6
Smoothed unemployment rate (%),Bonnells Bay - Silverwater,111021216,5.1,4.7,4.1,4.5
Smoothed unemployment rate (%),Edgeworth - Cameron Park,111021217,3.8,3.6,3.2,3.4
Smoothed unemployment rate (%),Morisset - Cooranbong,111021218,5.5,5.1,4.6,4.9
Smoothed unemployment rate (%),Toronto - Awaba,111021219,7.2,6.8,5.9,6.1
Smoothed unemployment rate (%),Wangi Wangi - Rathmines,111021220,4.2,3.9,3.4,3.6
Smoothed unemployment rate (%),West Wallsend - Barnsley - Killingworth,111021221,5.3,5.1,4.6,4.9
Smoothed unemployment rate (%),Adamstown - Kotara,111031222,3.4,3.2,2.8,3
Smoothed unemployment rate (%),Beresfield - Hexham,111031223,10.5,9.8,8.8,9.2
Smoothed unemployment rate (%),Hamilton - Broadmeadow,111031224,6.2,5.8,5.2,5.5
Smoothed unemployment rate (%),Lambton - New Lambton,111031225,3.7,3.4,3,3
Smoothed unemployment rate (%),Maryland - Fletcher - Minmi,111031226,3.5,3.2,2.8,3
Smoothed unemployment rate (%),Mayfield - Warabrook,111031227,7.7,7,6.2,6.6
Smoothed unemployment rate (%),Merewether - The Junction,111031228,1.7,1.5,1.3,1.4
Smoothed unemployment rate (%),Newcastle - Cooks Hill,111031229,4.1,3.8,3.4,3.6
Smoothed unemployment rate (%),Shortland - Jesmond,111031231,8.2,7.8,7.4,8
Smoothed unemployment rate (%),Stockton - Fullerton Cove,111031232,4.5,4.2,3.7,4
Smoothed unemployment rate (%),Wallsend - Elermore Vale,111031233,7.1,6.5,5.6,5.8
Smoothed unemployment rate (%),Waratah - North Lambton,111031234,6.1,5.8,5.3,5.7
Smoothed unemployment rate (%),Wickham - Carrington - Tighes Hill,111031235,5.6,5.3,4.6,4.9
Smoothed unemployment rate (%),Ballina,112011236,4.2,4.3,4.3,4.4
Smoothed unemployment rate (%),Ballina Region,112011237,2.4,2.5,2.5,2.6
Smoothed unemployment rate (%),Bangalow,112011238,2.4,2.4,2.3,2.3
Smoothed unemployment rate (%),Brunswick Heads - Ocean Shores,112011239,4.3,4.5,4.5,4.5
Smoothed unemployment rate (%),Byron Bay,112011240,3.2,3.1,3,2.9
Smoothed unemployment rate (%),Evans Head,112011241,3.8,4,4,4.2
Smoothed unemployment rate (%),Lennox Head - Skennars Head,112011242,1.3,1.4,1.4,1.4
Smoothed unemployment rate (%),Mullumbimby,112011243,5.7,5.7,5.6,5.8
Smoothed unemployment rate (%),Casino,112021244,6.3,6.5,6.6,7
Smoothed unemployment rate (%),Casino Region,112021245,5.7,5.7,5.5,5.6
Smoothed unemployment rate (%),Goonellabah,112021246,4.1,4.2,4.3,4.5
Smoothed unemployment rate (%),Kyogle,112021247,6,6.2,6.1,6.3
Smoothed unemployment rate (%),Lismore,112021248,6.7,7,7.1,7.6
Smoothed unemployment rate (%),Lismore Region,112021249,3.8,4,4,4.2
Smoothed unemployment rate (%),Kingscliff - Fingal Head,112031250,2.2,2.3,2.2,2.3
Smoothed unemployment rate (%),Murwillumbah,112031251,5.9,6.3,6.4,6.8
Smoothed unemployment rate (%),Murwillumbah Region,112031252,4.6,4.8,4.9,5.1
Smoothed unemployment rate (%),Pottsville,112031253,2.8,2.9,2.9,3.2
Smoothed unemployment rate (%),Tweed Heads,112031254,4,4.1,4.1,4.3
Smoothed unemployment rate (%),Banora Point,112031550,0,0,0,0
Smoothed unemployment rate (%),Terranora - North Tumblegum,112031551,0,0,0,0
Smoothed unemployment rate (%),Tweed Heads South,112031552,0,0,0,0
Smoothed unemployment rate (%),Griffith (NSW),113011256,3.7,2.9,2.9,3.4
Smoothed unemployment rate (%),Griffith Region,113011257,2.7,2.1,2,2.4
Smoothed unemployment rate (%),Leeton,113011258,5.1,4.2,4,4.7
Smoothed unemployment rate (%),Narrandera,113011259,6.7,5.2,5.1,5.9
Smoothed unemployment rate (%),Tumbarumba,113021260,4.3,2.9,2.8,3.4
Smoothed unemployment rate (%),Tumut,113021261,4.8,3.8,3.8,4.8
Smoothed unemployment rate (%),Tumut Region,113021262,3.2,2.5,2.6,3.3
Smoothed unemployment rate (%),Cootamundra,113031263,5.9,4.7,4.6,5.2
Smoothed unemployment rate (%),Gundagai,113031264,3.4,2.6,2.5,3.1
Smoothed unemployment rate (%),Junee,113031265,4.3,3.6,3.7,4.4
Smoothed unemployment rate (%),Temora,113031266,4.5,3.7,3.6,4.1
Smoothed unemployment rate (%),Wagga Wagga - East,113031267,3.5,2.7,2.7,3.2
Smoothed unemployment rate (%),Wagga Wagga - North,113031268,1.5,1.3,1.3,1.4
Smoothed unemployment rate (%),Wagga Wagga - South,113031269,5.1,4.1,4.2,5.3
Smoothed unemployment rate (%),Wagga Wagga - West,113031270,7.6,6.1,6.2,7.5
Smoothed unemployment rate (%),Wagga Wagga Region,113031271,2.4,1.9,1.9,2.3
Smoothed unemployment rate (%),Berry - Kangaroo Valley,114011272,2.7,3.5,4.4,4.9
Smoothed unemployment rate (%),Callala Bay - Currarong,114011273,5.2,6.2,7.9,8.9
Smoothed unemployment rate (%),Culburra Beach,114011274,6.1,8.2,10.4,11.4
Smoothed unemployment rate (%),Huskisson - Vincentia,114011276,3.4,4,4.9,5.3
Smoothed unemployment rate (%),North Nowra - Bomaderry,114011277,5.8,7.5,9.6,10.5
Smoothed unemployment rate (%),Nowra,114011278,10.5,13.1,16.2,17.5
Smoothed unemployment rate (%),St Georges Basin - Erowal Bay,114011279,8.5,10.5,13.1,14.2
Smoothed unemployment rate (%),Sussex Inlet - Berrara,114011280,8.6,10.6,13.2,14
Smoothed unemployment rate (%),Tomerong - Wandandian - Woollamia,114011281,2.9,3.8,4.4,4.7
Smoothed unemployment rate (%),Ulladulla,114011282,5.6,7,8.5,9.3
Smoothed unemployment rate (%),Ulladulla Region,114011283,5.2,6,7.4,8.1
Smoothed unemployment rate (%),Bowral,114021284,1.6,2.2,2.7,2.9
Smoothed unemployment rate (%),Hill Top - Colo Vale,114021285,2.2,2.8,3.4,3.7
Smoothed unemployment rate (%),Mittagong,114021286,2,2.8,3.5,3.7
Smoothed unemployment rate (%),Moss Vale - Berrima,114021287,2.6,3.5,4.4,4.8
Smoothed unemployment rate (%),Robertson - Fitzroy Falls,114021288,3,3.6,4.1,4.3
Smoothed unemployment rate (%),Southern Highlands,114021289,1.6,1.8,2.1,2.2
Smoothed unemployment rate (%),Baulkham Hills (East),115011290,3.4,3.4,3.5,3.4
Smoothed unemployment rate (%),Baulkham Hills (West) - Bella Vista,115011291,1.9,2.1,2,1.7
Smoothed unemployment rate (%),Glenhaven,115011294,1.7,1.6,1.3,1
Smoothed unemployment rate (%),West Pennant Hills,115011296,1.8,1.9,1.7,1.5
Smoothed unemployment rate (%),Castle Hill - Central,115011553,0,0,0,0
Smoothed unemployment rate (%),Castle Hill - East,115011554,0,0,0,0
Smoothed unemployment rate (%),Castle Hill - North,115011555,0,0,0,0
Smoothed unemployment rate (%),Castle Hill - South,115011556,0,0,0,0
Smoothed unemployment rate (%),Castle Hill - West,115011557,0,0,0,0
Smoothed unemployment rate (%),Cherrybrook,115011558,0,0,0,0
Smoothed unemployment rate (%),Kellyville,115011559,0,0,0,0
Smoothed unemployment rate (%),Dural - Kenthurst - Wisemans Ferry,115021297,3.3,3.3,3.1,2.8
Smoothed unemployment rate (%),Galston - Laughtondale,115021298,3.6,3.4,3.3,2.8
Smoothed unemployment rate (%),Bilpin - Colo - St Albans,115031299,6.6,6.2,5.8,4.9
Smoothed unemployment rate (%),Kurrajong Heights - Ebenezer,115031300,5.4,5.5,5.3,4.9
Smoothed unemployment rate (%),Pitt Town - McGraths Hill,115041301,5.1,5.2,5.1,5
Smoothed unemployment rate (%),Rouse Hill - Beaumont Hills,115041302,2.2,2.3,2.2,2
Smoothed unemployment rate (%),Blacktown (East) - Kings Park,116011303,4.6,4.9,4.9,4.9
Smoothed unemployment rate (%),Blacktown (North) - Marayong,116011304,5.8,6.1,6,6
Smoothed unemployment rate (%),Doonside - Woodcroft,116011306,5.9,6.3,6.1,6
Smoothed unemployment rate (%),Lalor Park - Kings Langley,116011307,4,4.2,4.2,4.2
Smoothed unemployment rate (%),Seven Hills - Toongabbie,116011308,3.7,4,4.1,4.1
Smoothed unemployment rate (%),Blacktown (South),116011560,0,0,0,0
Smoothed unemployment rate (%),Blacktown (West),116011561,0,0,0,0
Smoothed unemployment rate (%),Glenwood,116021309,1.5,1.6,1.6,1.5
Smoothed unemployment rate (%),Parklea - Kellyville Ridge,116021310,1.2,1.2,1.2,1.2
Smoothed unemployment rate (%),Riverstone - Marsden Park,116021312,3.3,3.8,4,4.3
Smoothed unemployment rate (%),Acacia Gardens,116021562,0,0,0,0
Smoothed unemployment rate (%),Quakers Hill,116021563,0,0,0,0
Smoothed unemployment rate (%),Bidwill - Hebersham - Emerton,116031313,16.5,18.1,18.3,18.5
Smoothed unemployment rate (%),Glendenning - Dean Park,116031314,3.7,3.9,3.9,3.8
Smoothed unemployment rate (%),Hassall Grove - Plumpton,116031315,4,4.3,4.3,4.3
Smoothed unemployment rate (%),Lethbridge Park - Tregear,116031316,12.8,13.7,13.7,13.6
Smoothed unemployment rate (%),Mount Druitt - Whalan,116031317,11.3,12.5,12.8,13
Smoothed unemployment rate (%),Rooty Hill - Minchinbury,116031319,4.2,4.5,4.5,4.4
