sa2_maincode_2016,tot_p_p,age_20_24_yr_p,age_25_34_yr_p,age_35_44_yr_p,age_45_54_yr_p,age_55_64_yr_p,age_65_74_yr_p,age_75_84_yr_p,age_85ov_p,indigenous_p_tot_p,birthplace_australia_p,lang_spoken_home_eng_only_p,high_yr_schl_comp_yr_12_eq_p,age_20_24_percent,age_25_34_percent,age_35_44_percent,age_45_54_percent,age_55_64_percent,age_65_74_percent,age_75_84_percent,age_85ov_percent,indigenous_percent,birthplace_australia_percent,lang_eng_only_percent,high_yr_12_comp_percent
213051363,8907,710,2336,1470,890,703,349,181,44,60,3507,3605,4513,0.07971258560682609,0.2622656337711912,0.16503873358033008,0.0999214101268665,0.07892668687549119,0.0391826653194117,0.020321095767373974,0.004939934882676546,0.006736274840013472,0.3937352643987875,0.40473784663747614,0.5066801392163467
213051365,34784,1934,7617,6402,3240,1822,1033,418,87,166,15525,14355,16201,0.05560027598896044,0.21897999080036798,0.18405013799448022,0.09314627414903404,0.05238040478380865,0.0296975620975161,0.012017019319227232,0.00250114995400184,0.004772309107635694,0.44632589696412145,0.4126897424103036,0.4657601195952162
213051366,23412,1363,6596,4376,1807,1064,485,135,27,194,9266,6656,11466,0.0582180078592175,0.28173586195113615,0.18691269434478044,0.07718264138048864,0.04544677942935247,0.020715872202289425,0.005766273705791901,0.0011532547411583804,0.00828634888091577,0.39577994191013155,0.2842986502648215,0.4897488467452588
213051368,11333,691,1621,1457,1583,1480,1049,659,287,84,7437,7871,4254,0.06097238154063355,0.14303361863584224,0.1285626047824936,0.13968057884055413,0.1305920762375364,0.09256154592782141,0.05814876908144357,0.0253242742433601,0.0074119827053736875,0.6562251830936204,0.6945204270713845,0.37536398129356746
213051369,23273,1388,4529,3897,2528,1706,980,369,96,320,14363,15194,8936,0.05963992609461608,0.19460318824388775,0.16744725647746314,0.10862372706569845,0.07330382847076011,0.04210888153654449,0.01585528294590298,0.004124951660722726,0.013749838869075753,0.617152923989172,0.6528595368023031,0.3839642504189404
213051464,12197,744,2123,2339,1682,878,393,86,21,56,5885,6772,6325,0.060998606214642946,0.17405919488398786,0.191768467655981,0.13790276297450194,0.07198491432319423,0.03222103796015414,0.007050914159219481,0.0017217348528326638,0.004591292940887104,0.48249569566286793,0.5552184963515618,0.5185701401984094
213051465,23180,1110,3552,4765,3063,1481,875,411,97,131,12155,12311,11228,0.04788610871440897,0.15323554788610871,0.205565142364107,0.1321397756686799,0.06389128559102675,0.037748058671268334,0.017730802415875754,0.004184641932700604,0.005651423641069888,0.524374460742019,0.5311044003451251,0.48438308886971526
213051466,14433,607,3086,3391,1301,656,341,56,10,71,6001,6365,7577,0.04205639853114391,0.21381556156031317,0.23494768932307905,0.09014064989953578,0.04545139610614564,0.023626411695420218,0.003879997228573408,0.0006928566479595372,0.004919282200512714,0.41578327444051827,0.4410032564262454,0.5249774821589414
213051467,19861,1452,3079,2632,2586,2262,1402,771,406,238,11367,11927,6890,0.07310810130406324,0.15502744071295504,0.13252102109662153,0.1302049242233523,0.11389154624641257,0.07059060470268365,0.038819797593273246,0.020442072403202255,0.01198328382256684,0.5723276773576356,0.6005236392930869,0.34691103167010723
213051468,11809,889,1879,1519,1747,1545,832,360,91,143,8283,8997,4418,0.07528156490812092,0.15911592852908799,0.12863070539419086,0.1479380133796257,0.13083241595393344,0.07045473791176221,0.030485223134897113,0.007705986959098993,0.01210940807858413,0.7014141756287577,0.7618765348463037,0.3741214328054873
