sa2_maincode_2016,negative_nil_income_tot,hi_1_149_tot,hi_150_299_tot,hi_300_399_tot,hi_400_499_tot,hi_500_649_tot,hi_650_799_tot,hi_800_999_tot,hi_1000_1249_tot,hi_1250_1499_tot,hi_1500_1749_tot,hi_1750_1999_tot,hi_2000_2499_tot,hi_2500_2999_tot,hi_3000_3499_tot,hi_3500_3999_tot,hi_4000_more_tot,tot_tot,hi_negative_nil_percent,hi_1_149_percent,hi_150_299_percent,hi_300_399_percent,hi_400_499_percent,hi_500_649_percent,hi_650_799_percent,hi_800_999_percent,hi_1000_1249_percent,hi_1250_1499_percent,hi_1500_1749_percent,hi_1750_1999_percent,hi_2000_2449_percent,hi_2500_2999_percent,hi_3000_3449_percent,hi_3500_3999_percent,hi_4000_more_percent
202021026,18,22,39,31,112,71,143,162,208,203,158,170,292,199,98,75,106,2356,0.007640067911714771,0.00933786078098472,0.016553480475382003,0.013157894736842105,0.04753820033955857,0.030135823429541596,0.060696095076400676,0.06876061120543293,0.08828522920203735,0.08616298811544991,0.06706281833616298,0.07215619694397284,0.12393887945670629,0.08446519524617997,0.04159592529711375,0.03183361629881155,0.04499151103565365
202021027,34,38,106,190,489,304,411,330,360,296,244,204,303,158,91,68,83,4115,0.008262454434993925,0.009234507897934386,0.025759416767922236,0.046172539489671933,0.11883353584447144,0.07387606318347509,0.09987849331713244,0.08019441069258809,0.08748481166464156,0.07193195625759417,0.059295261239368166,0.04957472660996355,0.07363304981773998,0.03839611178614824,0.022114216281895506,0.01652490886998785,0.02017010935601458
202021028,37,42,100,133,334,195,332,290,366,277,183,161,258,135,78,48,79,3373,0.010969463385710051,0.012451823302697895,0.029647198339756892,0.03943077379187667,0.09902164245478802,0.05781203676252594,0.09842869848799289,0.085976875185295,0.10850874592351023,0.08212273940112659,0.054254372961755115,0.047731989327008596,0.07648977171657279,0.040023717758671806,0.023124814705010377,0.014230655203083309,0.023421286688407945
202021029,38,21,53,85,209,108,219,152,167,133,90,61,119,66,40,30,27,1826,0.0208105147864184,0.011500547645125958,0.029025191675794086,0.04654983570646221,0.1144578313253012,0.05914567360350493,0.11993428258488499,0.0832420591456736,0.0914567360350493,0.0728368017524644,0.04928806133625411,0.033406352683461114,0.0651697699890471,0.03614457831325301,0.02190580503833516,0.01642935377875137,0.014786418400876232
202021030,47,34,75,117,290,166,275,243,321,267,226,183,362,204,115,103,154,3532,0.013306908267270668,0.009626274065685165,0.021234428086070217,0.03312570781426954,0.08210645526613816,0.04699886749716874,0.07785956964892413,0.06879954699886749,0.09088335220838052,0.07559456398640997,0.06398640996602492,0.05181200453001133,0.10249150622876557,0.057757644394110984,0.032559456398640996,0.029161947904869763,0.04360135900339751
202021031,33,13,36,48,122,82,148,129,185,173,149,120,263,194,112,121,211,2377,0.013883045856121162,0.005469078670593185,0.015145140933950358,0.020193521245267142,0.05132519983172066,0.0344972654606647,0.06226335717290703,0.05427008834665545,0.07782919646613379,0.07278081615481699,0.06268405553218342,0.05048380311316786,0.11064366848969288,0.08161548169962138,0.04711821623895667,0.050904501472444255,0.08876735380732015
202031032,23,13,26,60,135,73,143,136,137,151,104,110,134,71,40,38,37,1593,0.014438166980539862,0.008160703075957313,0.016321406151914627,0.03766478342749529,0.0847457627118644,0.045825486503452605,0.08976773383553044,0.08537350910232266,0.08600125549278091,0.09478970495919649,0.06528562460765851,0.06905210295040803,0.08411801632140616,0.044569993722536096,0.025109855618330193,0.023854362837413684,0.02322661644695543
202031033,65,43,99,138,399,151,304,252,252,186,129,122,148,71,36,23,41,2775,0.023423423423423424,0.015495495495495495,0.03567567567567568,0.04972972972972973,0.1437837837837838,0.054414414414414414,0.10954954954954955,0.09081081081081081,0.09081081081081081,0.06702702702702702,0.046486486486486484,0.043963963963963966,0.05333333333333334,0.025585585585585584,0.012972972972972972,0.008288288288288289,0.014774774774774775
203011034,17,8,21,32,80,61,106,96,147,184,154,148,279,189,93,48,102,1956,0.008691206543967281,0.00408997955010225,0.010736196319018405,0.016359918200409,0.0408997955010225,0.031186094069529654,0.0541922290388548,0.049079754601226995,0.07515337423312883,0.09406952965235174,0.0787321063394683,0.07566462167689161,0.14263803680981596,0.09662576687116564,0.04754601226993865,0.024539877300613498,0.05214723926380368
203011035,24,12,53,44,131,91,171,174,217,200,149,138,266,185,78,58,92,2339,0.010260795211628902,0.005130397605814451,0.022659256092347157,0.01881145788798632,0.056006840530141086,0.03890551517742625,0.07310816588285592,0.07439076528430953,0.09277469003847798,0.08550662676357418,0.06370243693886277,0.058999572466866185,0.11372381359555365,0.07909362975630611,0.033347584437793926,0.02479692176143651,0.03933304831124412
203011036,17,17,33,44,127,89,159,132,192,169,107,115,196,135,75,53,110,1994,0.008525576730190571,0.008525576730190571,0.016549648946840523,0.022066198595787363,0.06369107321965897,0.044633901705115345,0.07973921765295888,0.06619859578736209,0.09628886659979939,0.08475426278836509,0.05366098294884654,0.057673019057171516,0.09829488465396188,0.06770310932798396,0.03761283851554664,0.02657973921765296,0.055165496489468405
203021037,87,37,113,192,531,361,512,461,531,413,346,322,593,278,164,103,149,5733,0.015175300889586603,0.0064538635967207394,0.019710448281876854,0.03349031920460492,0.09262166405023547,0.06296877725449154,0.08930751787894645,0.08041165184022327,0.09262166405023547,0.07203907203907203,0.06035234606663178,0.05616605616605617,0.10343624629338916,0.048491191348334205,0.028606314320600033,0.01796616082330368,0.025989883132740275
203021038,153,83,407,577,1071,674,1082,906,933,742,504,400,582,263,113,95,113,9767,0.015664994368792873,0.008498003481109859,0.04167093273267124,0.05907648203132999,0.10965496058155012,0.06900788368997646,0.11078120200675745,0.09276133920344015,0.0955257499744036,0.07597010340943995,0.0516023343913177,0.04095423364390294,0.05958840995187877,0.02692740862086618,0.01156957100440258,0.009726630490426947,0.01156957100440258
203021039,70,39,159,227,411,281,340,335,452,378,301,293,532,290,198,155,253,5226,0.013394565633371604,0.007462686567164179,0.030424799081515498,0.043436662839647915,0.07864523536165327,0.05376961347110601,0.06505931879066207,0.0641025641025641,0.08649062380405664,0.07233065442020666,0.057596632223497896,0.05606582472254114,0.10179869881362419,0.05549177190968236,0.03788748564867968,0.029659395331037123,0.048411787217757365
203021040,87,65,206,298,641,437,602,577,657,579,467,453,818,502,297,226,335,7966,0.010921416018076826,0.00815967863419533,0.02585990459452674,0.037408988199849356,0.08046698468491087,0.05485814712528245,0.07557117750439367,0.0724328395681647,0.08247552096409741,0.07268390660306302,0.05862415264875722,0.056866683404468994,0.102686417273412,0.06301782575947779,0.0372834546824002,0.02837057494350992,0.04205372834546824
203021041,81,62,134,203,551,405,621,591,769,689,567,517,1035,583,328,162,239,8315,0.009741431148526759,0.007456404088995791,0.016115453998797356,0.024413710162357185,0.06626578472639807,0.0487071557426338,0.07468430547203848,0.07107636800962117,0.09248346361996392,0.08286229705351773,0.06819001803968731,0.06217678893565845,0.12447384245339747,0.07011425135297655,0.03944678292242935,0.019482862297053517,0.028743235117257966
203021042,73,56,111,158,401,301,453,439,555,541,442,421,868,624,428,295,630,7515,0.009713905522288756,0.007451763140385895,0.014770459081836327,0.02102461743180306,0.05335994677312043,0.04005322687957418,0.06027944111776447,0.058416500332668,0.07385229540918163,0.07198935462408516,0.058815701929474384,0.056021290751829676,0.11550232867598137,0.08303393213572854,0.05695276114437791,0.039254823685961414,0.08383233532934131
203021043,67,36,92,123,313,198,390,377,446,484,366,391,731,470,283,166,285,5814,0.01152390780873753,0.006191950464396285,0.01582387340901273,0.021155830753353973,0.053835569315445475,0.034055727554179564,0.06707946336429309,0.06484348125214998,0.07671138630890953,0.08324733402132783,0.0629514963880289,0.06725146198830409,0.12573099415204678,0.08083935328517372,0.048675610595115236,0.028551771585827314,0.049019607843137254
203021044,41,35,77,106,303,237,346,366,402,382,316,316,555,309,158,104,114,4588,0.008936355710549258,0.007628596338273758,0.016782911944202266,0.023103748910200523,0.06604184829991282,0.0516564952048823,0.07541412380122058,0.07977332170880558,0.08761987794245858,0.08326068003487358,0.06887532693984307,0.06887532693984307,0.12096774193548387,0.06734960767218831,0.03443766346992153,0.022667829119442023,0.024847428073234524
203021045,74,59,139,257,686,415,595,557,605,448,323,274,429,239,107,68,51,5900,0.012542372881355932,0.01,0.023559322033898305,0.043559322033898305,0.11627118644067796,0.07033898305084746,0.10084745762711865,0.09440677966101695,0.10254237288135593,0.0759322033898305,0.054745762711864404,0.0464406779661017,0.07271186440677967,0.040508474576271186,0.01813559322033898,0.01152542372881356,0.00864406779661017
203021046,53,17,67,86,225,153,211,227,261,254,206,201,372,252,185,186,447,3805,0.01392904073587385,0.004467805519053876,0.017608409986859395,0.022601839684625494,0.05913272010512484,0.040210249671484885,0.05545335085413929,0.05965834428383705,0.06859395532194482,0.06675427069645204,0.05413929040735874,0.05282522996057819,0.09776609724047307,0.06622864651773981,0.04862023653088042,0.048883048620236534,0.11747700394218134
203021047,76,40,163,231,599,303,535,433,477,426,321,325,480,263,153,103,197,5652,0.013446567586694975,0.007077140835102618,0.028839348903043172,0.04087048832271762,0.10598018400566171,0.05360934182590234,0.09465675866949752,0.07661004953998585,0.08439490445859872,0.07537154989384288,0.056794055201698515,0.057501769285208774,0.08492569002123142,0.046532200990799716,0.027070063694267517,0.018223637650389243,0.0348549186128804
203031048,83,31,83,145,439,276,505,394,458,412,331,273,455,248,140,79,165,5023,0.016523989647620942,0.006171610591280112,0.016523989647620942,0.028867210830181168,0.08739796934103125,0.05494724268365519,0.10053752737407924,0.078439179773044,0.09118056938084809,0.0820226956002389,0.06589687437786183,0.054349990045789366,0.09058331674298228,0.049372884730240894,0.02787178976707147,0.015727652797133188,0.03284889508261995
203031049,23,19,47,57,120,93,139,138,196,160,94,117,163,103,56,53,99,1889,0.012175754367390153,0.010058231868713605,0.024880889359449446,0.030174695606140816,0.06352567496029646,0.04923239809422975,0.07358390682901006,0.07305452620434093,0.10375860243515088,0.08470089994706194,0.04976177871889889,0.06193753308628904,0.08628904182106935,0.05452620434092112,0.029645314981471677,0.028057173107464268,0.05240868184224457
203031050,100,68,125,175,443,361,490,506,643,610,558,561,967,637,363,285,482,8174,0.012233912405187179,0.008319060435527282,0.015292390506483974,0.021409346709077563,0.054196231954979204,0.04416442378272572,0.059946170785417176,0.06190359677024713,0.07866405676535355,0.07462686567164178,0.06826523122094445,0.06863224859310008,0.11830193295816002,0.07793002202104234,0.044409102030829456,0.03486665035478346,0.0589674577930022
203031051,47,44,83,135,375,229,372,257,303,243,145,132,206,100,67,36,55,3116,0.015083440308087292,0.014120667522464698,0.02663671373555841,0.04332477535301669,0.12034659820282413,0.07349165596919127,0.11938382541720154,0.0824775353016688,0.0972400513478819,0.07798459563543003,0.046534017971758664,0.04236200256739409,0.06611039794608473,0.03209242618741977,0.021501925545571246,0.011553273427471117,0.01765083440308087
203031052,29,17,32,44,118,99,126,132,159,131,81,90,132,98,54,57,70,1638,0.017704517704517704,0.010378510378510378,0.019536019536019536,0.026862026862026864,0.07203907203907203,0.06043956043956044,0.07692307692307693,0.08058608058608059,0.09706959706959707,0.07997557997557997,0.04945054945054945,0.054945054945054944,0.08058608058608059,0.05982905982905983,0.03296703296703297,0.0347985347985348,0.042735042735042736
203031053,70,36,76,98,250,210,375,326,474,409,390,380,772,516,322,311,468,6204,0.011283043197936816,0.005802707930367505,0.012250161186331399,0.01579626047711154,0.04029658284977434,0.033849129593810444,0.06044487427466151,0.052546744036105736,0.07640232108317214,0.06592520954223081,0.06286266924564797,0.06125080593165699,0.12443584784010316,0.08317214700193423,0.05190199871050935,0.05012894906511928,0.07543520309477757
204011054,41,16,67,131,284,175,276,210,233,175,131,133,181,104,42,28,37,2549,0.016084739113377794,0.006276971361318164,0.02628481757551981,0.05139270302079247,0.1114162416633974,0.06865437426441742,0.10827775598273832,0.0823852491173009,0.09140839544919577,0.06865437426441742,0.05139270302079247,0.05217732444095724,0.07100823852491173,0.04080031384856807,0.01647704982346018,0.010984699882306787,0.014515496273048253
204011055,43,28,101,105,299,172,269,226,225,191,121,141,155,86,44,32,50,2599,0.01654482493266641,0.010773374374759523,0.03886110042323971,0.040400153905348214,0.11504424778761062,0.06617929973066564,0.10350134667179685,0.08695652173913043,0.08657175836860331,0.07348980377068103,0.046556367833782225,0.05425163524432474,0.0596383224317045,0.03308964986533282,0.016929588303193535,0.012312427856868027,0.019238168526356292
204011056,64,30,95,140,349,215,371,372,407,404,307,298,515,315,167,97,172,4845,0.013209494324045407,0.006191950464396285,0.0196078431372549,0.02889576883384933,0.07203302373581011,0.04437564499484004,0.07657378740970072,0.07678018575851393,0.08400412796697626,0.08338493292053664,0.06336429308565532,0.06150670794633643,0.10629514963880289,0.06501547987616099,0.034468524251805986,0.02002063983488132,0.035500515995872034
204011057,53,36,78,102,313,204,304,263,321,265,173,168,242,142,70,52,69,3233,0.01639344262295082,0.011135168574079802,0.024126198577172905,0.031549644293226105,0.0968141045468605,0.06309928858645221,0.09403031240334055,0.08134859263841633,0.09928858645221157,0.08196721311475409,0.05351067120321683,0.05196412001237241,0.07485307763686978,0.04392205381998144,0.021651716671821836,0.016084132384781936,0.021342406433652955
204011058,33,19,39,53,157,99,146,112,135,115,103,70,130,81,30,19,46,1578,0.02091254752851711,0.012040557667934094,0.024714828897338403,0.03358681875792142,0.09949302915082382,0.06273764258555133,0.09252217997465145,0.07097591888466413,0.08555133079847908,0.07287705956907478,0.06527249683143219,0.044359949302915085,0.08238276299112801,0.051330798479087454,0.019011406844106463,0.012040557667934094,0.029150823827629912
