sa2_maincode_2016,buddhism_p,christianity_anglican_p,christianity_baptist_p,christianity_catholic_p,christianity_eastrn_orthdox_p,christianity_uniting_church_p,christianity_tot_p,hinduism_p,islam_p,judaism_p,other_religions_tot_p,sb_osb_nra_tot_p,tot_p,buddhism_percent,christianity_anglican_percent,christianity_baptist_percent,christianity_catholic_percent,christianity_eastrn_orthdox_percent,christianity_uniting_church_percent,christianity_tot_percent,hinduism_percent,islam_percent,judaism_percent,other_religions_percent,no_religion_percent
101041024,29,745,28,584,14,98,1687,8,0,0,25,1184,3301,0.008785216601029992,0.22568918509542563,0.008482278097546198,0.176916086034535,0.004241139048773099,0.029687973341411694,0.5110572553771584,0.0024235080278703423,0.0,0.0,0.007573462587094819,0.35867918812481064
101041025,104,2431,146,2062,40,445,5923,15,4,6,39,3490,10618,0.00979468826521002,0.22895083819928425,0.013750235449237145,0.19419853079676022,0.0037671877943115466,0.04190996421171595,0.5578263326426822,0.00141269542286683,0.00037671877943115466,0.000565078169146732,0.003673008099453758,0.3286871350536824
101041026,62,1642,81,1905,23,204,4469,16,4,4,29,2645,7968,0.0077811244979919675,0.20607429718875503,0.01016566265060241,0.23908132530120482,0.0028865461847389557,0.025602409638554216,0.5608684738955824,0.002008032128514056,0.000502008032128514,0.000502008032128514,0.003639558232931727,0.33195281124497994
101041027,115,2015,81,1461,46,342,4605,21,8,12,47,3174,8978,0.012809088883938516,0.2244375139229227,0.009022053909556694,0.1627311205168189,0.0051236355535754065,0.038093116507017154,0.5129204722655379,0.0023390510135887724,0.0008910670527957229,0.0013366005791935842,0.005235018935174872,0.3535308531967031
101051539,183,5788,285,6568,136,889,15029,110,87,4,102,4835,22890,0.00799475753604194,0.2528615115771079,0.012450851900393184,0.2869375273044998,0.005941459152468327,0.038837920489296636,0.6565749235474007,0.004805591961555264,0.003800786369593709,0.00017474879860200962,0.004456094364351245,0.21122761031017911
101051540,58,3518,101,3722,78,619,8780,13,31,11,29,2456,12670,0.004577742699289661,0.277663772691397,0.007971586424625098,0.2937647987371744,0.006156274664561957,0.04885556432517758,0.6929755327545383,0.001026045777426993,0.00244672454617206,0.0008681925808997632,0.0022888713496448305,0.19384372533543803
101061541,36,1615,105,1831,25,332,4292,5,32,11,19,1538,6506,0.005533353827236397,0.24823240086074394,0.016138948662772826,0.2814325238241623,0.00384260682446972,0.05102981862895788,0.6596987396249616,0.000768521364893944,0.004918536735321242,0.001690747002766677,0.0029203811865969875,0.23639717184137718
101061542,49,2435,125,2848,49,506,6729,13,24,4,50,3579,11505,0.004259017818339852,0.21164710995219468,0.01086484137331595,0.2475445458496306,0.004259017818339852,0.043980877879182964,0.5848761408083442,0.0011299435028248588,0.0020860495436766623,0.0003476749239461104,0.004345936549326379,0.3110821382007823
101061543,38,2501,102,3715,27,413,7581,20,237,0,40,1808,10601,0.0035845674936326763,0.23592113951514007,0.009621733798698236,0.3504386378643524,0.002546929534949533,0.03895858881237619,0.7151212149797189,0.0018866144703329874,0.022356381473445902,0.0,0.003773228940665975,0.17054994811810206
101061544,34,2146,57,2494,31,372,5565,10,33,3,18,1050,7323,0.004642905912877236,0.29304929673631025,0.0077836952068824255,0.3405708043151714,0.0042332377440939505,0.050798852929127405,0.7599344530929947,0.0013655605626109518,0.004506349856616141,0.00040966816878328555,0.0024580090126997134,0.14338385907414994
