sa2_maincode_2016,tot_before_1946,tot_1946_1955,tot_1956_1965,tot_1966_1975,tot_1976_1985,tot_1986_1995,tot_1996_2005,tot_2006_2010,tot_2011,tot_2012,tot_2013,tot_2014,tot_2015,tot_2016,tot_tot,home_percent,established_percent,recent_percent,new_percent
104021084,9,165,249,319,231,216,295,363,57,97,102,125,148,86,2544,0.2916666666666667,0.17570754716981132,0.2586477987421384,0.2417452830188679
104021085,10,93,145,200,126,127,178,266,77,93,91,100,99,63,1741,0.257323377369328,0.14531878230901782,0.2550258472142447,0.30040206777713957
104021086,0,23,48,91,54,48,68,47,14,0,4,5,0,0,420,0.38571428571428573,0.24285714285714285,0.27380952380952384,0.05476190476190476
104021087,3,30,46,79,50,33,18,13,3,5,3,11,6,4,314,0.5031847133757962,0.2643312101910828,0.09872611464968153,0.10191082802547771
104021088,6,82,140,218,162,133,174,183,26,34,27,17,22,12,1281,0.3481654957064793,0.2302888368462139,0.2786885245901639,0.10772833723653395
104021089,10,170,314,407,248,216,239,212,34,54,40,35,30,32,2127,0.4236013164080865,0.21814762576398683,0.21203573107663376,0.10578279266572638
104021090,5,29,70,112,61,51,41,30,3,5,0,0,0,3,423,0.5106382978723404,0.2647754137115839,0.16784869976359337,0.026004728132387706
104021091,9,140,208,308,165,157,155,283,39,70,100,87,87,58,1981,0.33568904593639576,0.1625441696113074,0.22110045431600203,0.2226148409893993
105011092,0,8,10,16,8,15,12,28,5,3,4,12,7,0,131,0.2595419847328244,0.17557251908396945,0.3053435114503817,0.2366412213740458
105011093,0,11,22,12,21,29,41,81,19,32,10,10,10,3,325,0.13846153846153847,0.15384615384615385,0.37538461538461537,0.25846153846153846
105011094,0,12,11,16,11,16,5,15,6,6,8,6,7,0,116,0.33620689655172414,0.23275862068965517,0.1724137931034483,0.28448275862068967
105011095,3,12,9,29,19,26,22,41,10,8,19,5,3,8,231,0.22943722943722944,0.19480519480519481,0.2727272727272727,0.22943722943722944
105011096,0,38,78,136,63,51,36,73,14,11,14,16,7,3,564,0.44680851063829785,0.20212765957446807,0.19326241134751773,0.11524822695035461
105021097,4,85,85,105,57,74,76,108,22,37,35,18,28,7,800,0.34875,0.16375,0.23,0.18375
105021098,0,9,10,20,10,17,7,16,0,0,0,4,5,4,107,0.3644859813084112,0.2523364485981308,0.21495327102803738,0.12149532710280374
105031099,4,61,78,97,57,43,51,29,8,8,8,5,6,9,480,0.5,0.20833333333333334,0.16666666666666666,0.09166666666666666
105031100,0,34,60,65,49,42,95,138,28,24,29,38,38,38,699,0.22746781115879827,0.1301859799713877,0.3333333333333333,0.27896995708154504
105031101,6,69,65,106,96,108,156,445,82,90,79,74,81,53,1568,0.1568877551020408,0.13010204081632654,0.3832908163265306,0.2927295918367347
105031102,0,30,52,69,40,63,66,148,26,38,35,14,33,22,646,0.23374613003095976,0.15944272445820434,0.33126934984520123,0.26006191950464397
105031103,0,24,42,50,24,22,15,10,0,4,7,3,3,0,224,0.5178571428571429,0.20535714285714285,0.11160714285714286,0.07589285714285714
105031104,0,16,25,13,10,9,26,10,0,4,11,0,0,7,159,0.33962264150943394,0.11949685534591195,0.22641509433962265,0.13836477987421383
105031105,3,33,30,61,22,23,21,8,3,7,3,5,6,0,232,0.5474137931034483,0.1939655172413793,0.125,0.10344827586206896
105031106,8,44,66,78,44,49,32,27,6,5,3,3,16,3,514,0.38132295719844356,0.18093385214007782,0.11478599221789883,0.07003891050583658
106011107,4,101,81,123,94,84,101,109,30,15,0,10,7,3,803,0.3848069738480697,0.22166874221668742,0.261519302615193,0.08094645080946451
106011108,11,134,137,220,136,130,159,123,29,24,11,31,15,9,1351,0.3715766099185788,0.19689119170984457,0.20873427091043673,0.08808290155440414
106011109,7,41,88,161,96,76,51,38,9,5,3,7,10,0,608,0.48848684210526316,0.28289473684210525,0.14638157894736842,0.05592105263157895
106011110,0,43,72,95,58,42,47,45,3,5,3,3,0,0,434,0.4838709677419355,0.2304147465437788,0.2119815668202765,0.03225806451612903
106011111,0,92,136,153,129,85,77,89,19,29,11,14,9,4,899,0.42380422691879865,0.23804226918798665,0.1846496106785317,0.09566184649610679
106011112,0,56,74,144,143,174,223,251,51,58,57,41,35,12,1354,0.20236336779911374,0.23412112259970458,0.3500738552437223,0.18759231905465287
106011113,0,27,37,67,40,37,40,27,3,9,6,4,0,4,307,0.42671009771986973,0.250814332247557,0.2182410423452769,0.08469055374592833
106021114,3,35,40,56,69,49,78,84,11,21,28,17,19,0,536,0.25,0.22014925373134328,0.30223880597014924,0.1791044776119403
106021115,15,199,211,289,263,282,309,372,79,50,72,66,45,30,2345,0.3044776119402985,0.232409381663113,0.29040511727078894,0.14584221748400852
106021116,3,48,47,80,87,59,88,53,22,12,4,5,10,3,533,0.3339587242026266,0.27392120075046905,0.26454033771106944,0.1050656660412758
106021117,7,140,136,185,167,174,247,321,69,64,53,43,30,19,1716,0.2727272727272727,0.1987179487179487,0.331002331002331,0.16200466200466201
106021118,0,68,74,120,99,83,129,101,20,22,14,18,8,9,786,0.3333333333333333,0.23155216284987276,0.2926208651399491,0.11577608142493638
106031119,0,74,99,160,87,51,75,62,10,13,12,3,12,5,683,0.48755490483162517,0.2020497803806735,0.2005856515373353,0.08052708638360176
106031120,3,73,129,158,102,84,72,34,0,7,3,7,6,3,726,0.5,0.256198347107438,0.14600550964187328,0.03581267217630854
106031121,22,330,475,643,387,269,351,358,73,57,54,61,39,25,3278,0.448444173276388,0.20012202562538134,0.21629042098840756,0.09426479560707748
106031122,7,127,129,182,151,126,106,105,24,16,10,16,20,6,1046,0.4254302103250478,0.26481835564053535,0.20172084130019122,0.08795411089866156
106031123,3,25,46,64,50,30,50,25,5,7,4,4,0,0,327,0.42201834862385323,0.24464831804281345,0.22935779816513763,0.06116207951070336
106031124,5,94,125,172,102,62,43,44,11,5,13,12,4,11,737,0.5373134328358209,0.2225237449118046,0.11804613297150611,0.07598371777476255
106031125,0,98,136,252,145,111,156,170,28,26,16,11,18,8,1237,0.3928860145513339,0.20695230396119643,0.2635408245755861,0.08649959579628133
106041126,0,39,51,123,67,84,113,193,44,48,49,26,26,22,1017,0.20943952802359883,0.14847590953785644,0.3008849557522124,0.21140609636184857
106041127,0,13,24,47,24,36,36,28,4,3,11,8,14,10,257,0.32684824902723736,0.23346303501945526,0.2490272373540856,0.19455252918287938
106041128,0,14,22,57,35,28,49,93,27,32,41,23,60,13,520,0.17884615384615385,0.12115384615384615,0.27307692307692305,0.3769230769230769
106041129,0,44,53,86,57,64,54,52,9,13,37,15,17,3,541,0.33826247689463956,0.22365988909426987,0.19593345656192238,0.17375231053604437
107011131,19,403,717,1395,401,276,277,198,23,42,46,25,22,11,3993,0.634610568494866,0.16954670673678937,0.11895817680941648,0.042324067117455545
107011132,0,90,165,365,146,165,160,137,24,23,39,19,11,3,1417,0.43754410726887794,0.21947776993648554,0.20959774170783346,0.0839802399435427
107011133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0
107011134,6,227,441,721,354,276,288,195,37,34,57,36,31,18,2913,0.4788877445932029,0.21627188465499486,0.16580844490216273,0.07312049433573635
107011545,0,195,561,1112,438,393,320,219,27,40,60,91,37,51,3706,0.5040474905558554,0.22423097679438747,0.1454398273070696,0.08256880733944955
107011546,6,138,570,992,275,214,166,129,24,43,60,79,44,15,2869,0.5946322760543743,0.17044266294876265,0.1028232833739979,0.09236667828511677
107011547,0,85,225,193,54,42,45,26,4,7,9,9,5,32,773,0.6507115135834411,0.12419146183699871,0.09184993531694696,0.08538163001293661
107021135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
107031136,0,125,326,536,205,189,172,92,14,24,16,15,14,3,1851,0.5332252836304701,0.21285791464073472,0.1426256077795786,0.046461372231226365
107031137,3,87,202,301,95,69,65,59,9,6,5,0,4,5,997,0.5947843530591775,0.16449348044132397,0.12437311935807423,0.029087261785356068
107031138,6,120,210,280,131,104,156,137,22,25,30,23,29,5,1318,0.4673748103186646,0.17830045523520485,0.22230652503793627,0.10166919575113809
107031139,0,59,118,167,67,59,110,60,9,13,12,7,0,3,721,0.47711511789181693,0.17475728155339806,0.23578363384188628,0.06102635228848821
107031140,0,96,169,186,118,65,89,80,12,15,10,11,6,9,900,0.5011111111111111,0.20333333333333334,0.18777777777777777,0.07
107031141,3,127,412,780,328,255,270,263,61,52,52,50,35,18,2769,0.4774286746117732,0.21054532322137956,0.19248826291079812,0.09678584326471651
107031142,3,146,423,619,216,157,124,79,13,15,12,22,23,17,1946,0.6120246659815005,0.19167523124357658,0.10431654676258993,0.052415210688591986
107031143,6,306,981,1256,306,274,186,188,24,55,26,32,33,13,3850,0.662077922077922,0.15064935064935064,0.09714285714285714,0.04753246753246753
107041144,20,431,702,847,465,373,489,440,91,141,182,221,231,182,4992,0.40064102564102566,0.16786858974358973,0.18609775641025642,0.20993589743589744
107041145,13,263,458,632,312,305,257,174,65,60,57,58,62,28,2825,0.48353982300884957,0.2184070796460177,0.15256637168141593,0.1168141592920354
107041146,10,307,581,828,372,423,614,481,89,152,195,320,329,241,5148,0.33527583527583527,0.15442890442890442,0.2127039627039627,0.25757575757575757
107041147,3,49,81,155,129,142,206,136,23,22,36,22,12,4,1105,0.26063348416289595,0.24524886877828053,0.3095022624434389,0.1076923076923077
107041148,3,125,194,285,239,196,279,169,38,37,46,37,25,10,1729,0.35106998264893,0.2515905147484095,0.2591093117408907,0.11162521688837479
107041150,20,283,368,506,307,316,404,256,59,44,56,46,33,44,2824,0.41678470254957506,0.22060906515580736,0.23371104815864022,0.09985835694050992
107041548,6,194,384,489,229,269,371,426,98,198,245,360,377,270,4077,0.2631837135148393,0.12214863870493009,0.1954868776060829,0.37969094922737306
107041549,9,161,420,750,309,331,649,664,199,261,359,438,492,315,5551,0.2413979463159791,0.11529454152404972,0.23653395784543327,0.37182489641506034
108011151,0,51,77,100,45,49,28,18,0,5,8,3,5,0,404,0.5643564356435643,0.23267326732673269,0.11386138613861387,0.05198019801980198
108011152,12,232,238,327,167,105,136,81,15,24,19,7,18,7,1447,0.5590877677954388,0.18797512093987562,0.14996544574982723,0.06219765031098825
108011153,6,78,136,176,79,63,75,31,5,8,5,3,9,0,696,0.5689655172413793,0.20402298850574713,0.15229885057471265,0.04310344827586207
108011154,9,89,118,131,56,38,49,28,11,11,9,3,5,3,615,0.5642276422764227,0.15284552845528454,0.12520325203252033,0.06829268292682927
108021155,12,69,128,167,77,89,66,52,15,13,15,21,19,28,856,0.4392523364485981,0.1939252336448598,0.1378504672897196,0.12967289719626168
108021156,3,75,124,193,96,73,78,32,14,9,13,11,9,3,763,0.5176933158584535,0.2214941022280472,0.14416775884665792,0.07732634338138926
108021157,0,45,53,68,32,29,33,21,3,3,0,6,5,0,320,0.51875,0.190625,0.16875,0.053125
108021158,11,89,157,172,86,76,57,40,4,12,9,8,13,4,755,0.5682119205298013,0.21456953642384105,0.12847682119205298,0.06622516556291391
108021159,0,60,126,192,99,61,50,32,3,13,3,8,11,0,685,0.5518248175182482,0.23357664233576642,0.11970802919708029,0.05547445255474453
108021160,10,51,79,90,61,35,21,21,9,3,4,11,14,4,430,0.5348837209302325,0.22325581395348837,0.09767441860465116,0.10465116279069768
108031161,0,3,7,3,10,3,12,3,3,3,3,0,0,0,60,0.21666666666666667,0.21666666666666667,0.25,0.15
108041162,17,217,320,391,210,93,175,81,15,17,19,11,12,9,1680,0.5625,0.18035714285714285,0.1523809523809524,0.0494047619047619
108041163,15,280,468,696,443,352,498,366,52,83,94,72,53,31,3653,0.3993977552696414,0.21762934574322473,0.2365179304681084,0.10539282781275663
108041164,15,245,345,443,244,187,275,219,69,49,58,39,31,15,2344,0.447098976109215,0.18387372013651876,0.21075085324232082,0.1113481228668942
108041165,3,37,65,87,77,55,50,42,0,3,8,3,3,0,453,0.423841059602649,0.2913907284768212,0.20309050772626933,0.037527593818984545
108041166,3,82,123,203,98,83,77,61,14,12,9,9,3,10,831,0.49458483754512633,0.21780986762936222,0.16606498194945848,0.06859205776173286
108051167,3,40,45,97,50,33,29,21,9,3,3,3,6,3,368,0.5027173913043478,0.22554347826086957,0.1358695652173913,0.07336956521739131
108051168,6,147,177,276,163,99,92,76,13,11,12,16,8,0,1137,0.5329815303430079,0.23043095866314864,0.14775725593667546,0.052770448548812667
108051169,8,160,230,297,160,142,187,162,25,40,11,32,22,17,1582,0.4393173198482933,0.19089759797724398,0.22060682680151708,0.09292035398230089
108051170,3,129,231,272,155,76,93,35,12,5,3,5,4,5,1088,0.5836397058823529,0.21231617647058823,0.11764705882352941,0.03125
108051171,5,49,55,76,49,34,36,30,4,3,6,3,0,0,372,0.49731182795698925,0.22311827956989247,0.1774193548387097,0.043010752688172046
109011172,8,82,162,187,158,134,190,244,34,67,24,32,42,36,1423,0.3085031623330991,0.20520028109627547,0.3049894588896697,0.1651440618411806
109011173,6,82,80,138,89,62,126,179,47,45,20,38,18,18,984,0.31097560975609756,0.15345528455284552,0.3099593495934959,0.18902439024390244
109011174,3,100,133,168,105,95,127,193,43,44,29,43,50,26,1202,0.33610648918469216,0.16638935108153077,0.26622296173044924,0.19550748752079866
109011175,0,69,97,124,92,63,70,53,21,24,8,6,5,12,689,0.420899854862119,0.22496371552975328,0.17851959361393324,0.11030478955007257
109011176,3,144,196,215,135,116,126,374,124,74,97,87,76,29,1840,0.3032608695652174,0.13641304347826086,0.2717391304347826,0.26467391304347826
109021177,0,29,27,12,16,17,8,34,0,9,6,6,3,10,188,0.3617021276595745,0.17553191489361702,0.22340425531914893,0.18085106382978725
109021178,3,34,52,57,42,36,35,35,6,0,6,6,5,3,334,0.437125748502994,0.23353293413173654,0.20958083832335328,0.07784431137724551
109021179,0,24,29,16,13,24,24,27,3,5,5,18,13,0,215,0.3209302325581395,0.17209302325581396,0.2372093023255814,0.20465116279069767
109031180,3,60,69,55,39,30,34,32,7,14,6,11,10,3,390,0.4794871794871795,0.17692307692307693,0.16923076923076924,0.13076923076923078
109031181,3,54,97,93,39,32,40,29,5,5,7,12,12,9,452,0.5464601769911505,0.1570796460176991,0.15265486725663716,0.11061946902654868
109031182,3,34,67,62,22,31,54,43,8,26,25,41,34,12,495,0.33535353535353535,0.10707070707070707,0.19595959595959597,0.29494949494949496
109031183,3,42,59,57,27,19,28,30,15,14,9,7,4,10,344,0.4680232558139535,0.13372093023255813,0.1686046511627907,0.17151162790697674
109031184,4,64,75,81,41,29,37,57,15,19,10,5,23,3,489,0.45807770961145194,0.14314928425357873,0.19222903885480572,0.15337423312883436
109031185,3,85,125,136,53,39,77,68,11,34,9,18,21,15,746,0.467828418230563,0.12332439678284182,0.19436997319034852,0.1447721179624665
110011186,14,101,191,285,230,229,428,480,89,136,167,249,339,211,3269,0.18078923218109513,0.14040991128785563,0.2777607831141022,0.3643315998776384
110011187,0,8,30,46,38,24,31,36,9,3,3,15,20,6,272,0.3088235294117647,0.22794117647058823,0.24632352941176472,0.20588235294117646
