,state,divisionnm_x,pollingplaceid,pollingplacenm,premisesnm,premisessuburb,premisespostcode,latitude,longitude,liberal/national coalition votes,liberal/national coalition percentage,australian labor party votes,australian labor party percentage,totalvotes,SA2_MAIN16,SA2_NAME16,GCC_CODE16,STE_NAME16,AREASQKM16
48,ACT,Bean,83841,Waramanga West,Mount Stromlo High School,WARAMANGA,2611.0,-35.3548805,149.0538306,206,34.33,394,65.67,600,801081097,Waramanga,8ACTE,Australian Capital Territory,1.7098
49,ACT,Bean,8793,Weston,Weston Creek Community Centre,WESTON,2611.0,-35.3412,149.054,490,37.66,811,62.34,1301,801081098,Weston,8ACTE,Australian Capital Territory,3.8462
50,ACT,Bean,32705,Woden BEAN PPVC,Cosmopolitan Building,WODEN,2606.0,-35.3442899,149.08632880000002,4625,44.5,5768,55.5,10393,801091109,Phillip,8ACTE,Australian Capital Territory,2.5749
51,ACT,Canberra,8801,Ainslie North,North Ainslie Primary School,AINSLIE,2602.0,-35.2543,149.14700000000002,331,17.31,1581,82.69,1912,801051050,Ainslie,8ACTE,Australian Capital Territory,3.5405
52,ACT,Canberra,8803,Aranda (Canberra),Aranda Primary School,ARANDA,2614.0,-35.256,149.08,406,22.22,1421,77.78,1827,801011001,Aranda,8ACTE,Australian Capital Territory,1.5631
53,ACT,Canberra,8829,Barton,Telopea Park School,BARTON,2600.0,-35.3151,149.135,665,32.52,1380,67.48,2045,801061129,Barton,8ACTE,Australian Capital Territory,1.1901
54,ACT,Canberra,93968,Belconnen (Canberra),Lake Ginninderra College,BELCONNEN,2617.0,-35.2391,149.07399999999998,151,32.33,316,67.67,467,801011002,Belconnen,8ACTE,Australian Capital Territory,4.4261
55,ACT,Canberra,64583,Belconnen CANBERRA PPVC,Belconnen Community Centre,BELCONNEN,2900.0,-35.238903799999996,149.070109,2463,38.9,3868,61.1,6331,801011002,Belconnen,8ACTE,Australian Capital Territory,4.4261
56,ACT,Canberra,65504,BLV Canberra PPVC,BLV Canberra,CANBERRA CITY,2601.0,-35.2790544,149.1263791,9,45.0,11,55.0,20,801051053,Civic,8ACTE,Australian Capital Territory,1.4309
57,ACT,Canberra,8802,Braddon,Ainslie School,BRADDON,2601.0,-35.27363,149.14001000000002,485,21.41,1780,78.59,2265,801051051,Braddon,8ACTE,Australian Capital Territory,1.4078
58,ACT,Canberra,83849,Bruce (Canberra),Radford College,BRUCE,2617.0,-35.244280200000006,149.0884075,361,32.32,756,67.68,1117,801011003,Bruce,8ACTE,Australian Capital Territory,5.7975
59,ACT,Canberra,8806,Campbell,Campbell Primary School,CAMPBELL,2601.0,-35.2903,149.156,911,42.22,1247,57.78,2158,801051124,Campbell,8ACTE,Australian Capital Territory,3.1593
60,ACT,Canberra,8808,City (Canberra),Pilgrim House,CANBERRA CITY,2601.0,-35.2767018,149.1290814,346,24.52,1065,75.48,1411,801051053,Civic,8ACTE,Australian Capital Territory,1.4309
61,ACT,Canberra,58708,City CANBERRA PPVC,Canberra Museum and Gallery,CANBERRA CITY,2601.0,-35.2805169,149.13086140000001,2844,31.6,6155,68.4,8999,801051053,Civic,8ACTE,Australian Capital Territory,1.4309
62,ACT,Canberra,8764,Curtin (Canberra),Curtin Primary School,CURTIN,2605.0,-35.3314386,149.0803543,623,31.39,1362,68.61,1985,801091100,Curtin,8ACTE,Australian Capital Territory,4.8079
63,ACT,Canberra,8766,Deakin,CGGS Junior School,DEAKIN,2600.0,-35.3125,149.111,621,54.76,513,45.24,1134,801061062,Deakin,8ACTE,Australian Capital Territory,3.5714
64,ACT,Canberra,8809,Dickson,Daramalan College,DICKSON,2602.0,-35.2535,149.139,263,27.83,682,72.17,945,801051054,Dickson,8ACTE,Australian Capital Territory,1.5779
65,ACT,Canberra,83852,Dickson East,Dickson College,DICKSON,2602.0,-35.2487237,149.15412759999998,180,20.69,690,79.31,870,801051054,Dickson,8ACTE,Australian Capital Territory,1.5779
66,ACT,Canberra,30092,Divisional Office (PREPOLL),Divisional Office,CANBERRA CITY,2601.0,-35.270926,149.129899,92,29.68,218,70.32,310,801051060,Turner,8ACTE,Australian Capital Territory,1.5377
67,ACT,Canberra,82525,Downer,Downer Community Centre,DOWNER,2602.0,-35.2445,149.145,216,19.05,918,80.95,1134,801051055,Downer,8ACTE,Australian Capital Territory,1.6342
