sa2_maincode_2016,p_tot_total,p_pgrad_deg_total,p_graddip_and_gradcert_total,p_bachdeg_total,p_advdip_and_dip_total,p_cert_iii_iv_total,p_cert_i_ii_total,p_cert_lev_tot_total,post_grad_degree_percent,post_grad_dip_cert_percent,bach_degree_percent,diploma_percent,certificate_percent,bach_post_grad_percent
116011561,7035,638,126,1823,1153,1807,141,2197,0.09068941009239517,0.01791044776119403,0.2591329068941009,0.1638948116560057,0.3122956645344705,0.3677327647476901
116021309,7757,1171,198,2808,1251,1350,106,1700,0.15096042284388295,0.025525331958231274,0.361995616862189,0.16127368828155214,0.21915689055047055,0.5384813716643032
116021310,16521,2229,447,5532,2558,2759,182,3357,0.13491919375340475,0.02705647357908117,0.33484655892500453,0.15483324253979783,0.2031959324496096,0.49682222625749045
116021312,8002,709,164,2021,1119,2216,152,2659,0.08860284928767809,0.020494876280929768,0.25256185953511623,0.1398400399900025,0.33229192701824545,0.3616595851037241
116021562,1879,228,53,650,299,419,23,502,0.12134113890367217,0.028206492815327302,0.3459286854709952,0.1591271953166578,0.2671633847791378,0.4954763171899947
116021563,10908,1256,313,3342,1822,2548,235,3162,0.11514484781811514,0.028694536120278693,0.3063806380638064,0.16703337000366703,0.28987898789878985,0.45022002200220024
116031313,5759,145,45,682,737,1793,228,2319,0.02517798228859177,0.007813856572321583,0.11842333738496266,0.12797360652891127,0.4026740753603056,0.15141517624587603
116031314,3477,258,59,895,593,998,81,1186,0.07420189818809318,0.016968651136036815,0.2574058096059822,0.17054932412999713,0.34109864825999425,0.3485763589301122
116031315,8465,501,129,2356,1414,2313,229,2876,0.05918487891317188,0.015239220318960425,0.2783225044300059,0.1670407560543414,0.33975191966922624,0.3527466036621382
116031316,7197,435,76,1150,925,2004,232,2527,0.060441850771154645,0.010559955537029318,0.15978880088925942,0.12852577462831735,0.3511185216062248,0.23079060719744338
116031317,8576,676,120,2047,1294,2111,228,2689,0.07882462686567164,0.013992537313432836,0.23868936567164178,0.15088619402985073,0.31354944029850745,0.33150652985074625
116031318,26,0,0,0,0,11,0,10,0.0,0.0,0.0,0.0,0.38461538461538464,0.0
116031319,9036,579,145,2639,1401,2449,174,3008,0.06407702523240372,0.016046923417441347,0.2920540061974325,0.1550464807436919,0.3328906595838867,0.37217795484727756
117011320,9,0,0,3,0,4,0,4,0.0,0.0,0.3333333333333333,0.0,0.4444444444444444,0.3333333333333333
117011321,5425,510,131,1385,892,1286,80,1532,0.09400921658986175,0.024147465437788018,0.2552995391705069,0.16442396313364055,0.2823963133640553,0.3734562211981567
117011322,12544,1725,266,4267,1827,2076,151,2569,0.13751594387755103,0.021205357142857144,0.3401626275510204,0.14564732142857142,0.20479910714285715,0.49888392857142855
117011323,5539,596,116,1457,802,1137,82,1420,0.1076006499368117,0.020942408376963352,0.2630438707347897,0.1447914786062466,0.25636396461455135,0.39158692904856474
117011324,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
117011325,50,5,0,7,0,7,0,6,0.1,0.0,0.14,0.0,0.12,0.24
117021326,14784,2106,581,5379,1860,1938,164,2455,0.1424512987012987,0.039299242424242424,0.3638392857142857,0.12581168831168832,0.16605790043290045,0.5455898268398268
117021327,13021,2106,598,5008,1576,1421,103,1796,0.16173872974425926,0.045925812149604485,0.3846094769986944,0.12103525074879042,0.13793103448275862,0.5922740188925582
117021328,4396,558,190,1556,636,715,51,864,0.12693357597816196,0.04322111010009099,0.353958143767061,0.14467697907188354,0.19654231119199272,0.5241128298453139
117031329,8833,1439,292,3499,884,547,49,734,0.16291180799275445,0.03305785123966942,0.39612815577946336,0.10007924827351976,0.0830974753764293,0.5920978150118873
117031330,11557,2041,516,4812,1348,1080,93,1359,0.1766029246344207,0.04464826512070606,0.4163710305442589,0.11663926624556546,0.11759107034697586,0.6376222202993856
117031331,13402,2656,510,5326,1380,995,97,1284,0.1981793762125056,0.038054021787792866,0.3974033726309506,0.10296970601402776,0.09580659603044321,0.633636770631249
117031332,16435,2903,696,7158,1581,1298,117,1655,0.17663522969272893,0.04234864618192881,0.43553392150897474,0.0961971402494676,0.10069972619409796,0.6545177973836325
117031333,16746,2443,526,5514,1635,1287,109,1676,0.14588558461722204,0.031410486086229546,0.32927266212826944,0.09763525618058044,0.1000836020542219,0.506568732831721
117031334,14658,2485,375,6192,1728,937,90,1265,0.16953199617956066,0.025583299222267705,0.4224314367580843,0.11788784281620958,0.08630099604311639,0.6175467321599126
117031335,15376,2454,465,6286,1620,1129,93,1505,0.1595993756503642,0.03024193548387097,0.40881893860561913,0.10535900104058273,0.09787981269510926,0.5986602497398543
117031336,12228,1962,383,4907,1360,877,69,1169,0.1604514229636899,0.03132155708210664,0.4012921164540399,0.11122015047432122,0.09560026169447171,0.5930650964998364
117031337,19241,2831,307,7278,2849,937,104,1292,0.14713372485837534,0.015955511667792733,0.37825476846317757,0.14806922717114496,0.06714827711657398,0.5413440049893457
117031338,20915,3490,573,7744,2464,2175,152,2709,0.16686588572794644,0.027396605307195794,0.37026057853215394,0.11781018407841262,0.12952426488166388,0.5645230695672963
118011339,12180,1816,379,4856,1486,1139,84,1505,0.14909688013136288,0.03111658456486043,0.3986863711001642,0.12200328407224958,0.1235632183908046,0.5788998357963875
118011340,13843,1881,450,5703,1545,1171,69,1550,0.13588095066098388,0.032507404464350215,0.4119771725781984,0.1116087553276024,0.11196994871053963,0.5803655277035324
118011341,10942,1610,350,4206,1247,920,56,1200,0.14713946262109304,0.031986839700237614,0.38439042222628406,0.11396454030341802,0.10966916468652897,0.5635167245476147
118011342,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
118011343,16255,2694,562,6893,1833,941,101,1429,0.16573362042448478,0.034573977237772995,0.4240541371885574,0.11276530298369733,0.08791141187326976,0.6243617348508151
118011344,6393,862,200,2667,925,638,40,856,0.13483497575473175,0.03128421711246676,0.41717503519474425,0.14468950414515877,0.13389644924135774,0.5832942280619428
118011345,10631,2002,433,4594,1043,666,49,925,0.18831718558931426,0.040729940739347194,0.4321324428557991,0.09810930298184554,0.08700968864641144,0.6611795691844605
118011346,6661,1020,212,2896,840,458,41,676,0.15313016063654106,0.03182705299504579,0.4347695541210029,0.1261071911124456,0.10148626332382525,0.6197267677525897
118011347,5194,907,186,2307,510,276,12,394,0.1746245668078552,0.03581055063534848,0.4441663457835965,0.09819021948402003,0.07585675779745861,0.6546014632268001
118021348,16155,2540,666,6250,1932,1806,121,2285,0.1572268647477561,0.041225626740947076,0.386877127824203,0.11959145775301765,0.14144227793252864,0.5853296193129062
118021350,12895,1177,270,2829,1680,2511,163,3078,0.09127568825126017,0.02093834819697557,0.21938735944164406,0.130283055447848,0.23869716944552152,0.3316013958898798
118021564,8127,1547,203,3238,892,707,80,934,0.19035314384151594,0.024978466838931956,0.39842500307616585,0.10975759812969116,0.1149255567860219,0.6137566137566137
118021565,8673,1648,220,3727,894,830,78,1093,0.19001498904646605,0.025366078634843768,0.42972443214573963,0.10307851954341059,0.12602329067220108,0.6451054998270495
118021566,5558,835,181,2072,729,763,48,980,0.15023389708528248,0.03256567110471392,0.37279596977329976,0.13116228859301907,0.17632241813602015,0.5555955379632962
118021567,5973,812,198,1935,821,959,55,1191,0.1359450862213293,0.03314917127071823,0.32395781014565544,0.1374518667336347,0.19939728779507784,0.493052067637703
118021568,5545,913,146,2050,722,703,50,911,0.16465284039675382,0.026330027051397656,0.369702434625789,0.13020739404869253,0.1642921550946799,0.5606853020739405
118021569,10831,1775,426,4264,1318,1259,76,1610,0.16388145138953006,0.03933154833348721,0.39368479364786263,0.12168774813036654,0.14864740097867232,0.5968977933708799
118021570,8480,1405,302,3229,918,879,60,1075,0.16568396226415094,0.03561320754716981,0.38077830188679246,0.10825471698113208,0.1267688679245283,0.5820754716981132
119011354,8039,407,116,1602,1364,2247,160,2804,0.05062818758552059,0.014429655429779824,0.199278517228511,0.16967284488120413,0.3487996019405399,0.2643363602438114
119011355,474,59,13,168,83,58,5,72,0.12447257383966245,0.027426160337552744,0.35443037974683544,0.1751054852320675,0.1518987341772152,0.5063291139240507
119011356,4154,242,65,1012,710,1101,86,1353,0.058257101588830046,0.015647568608570053,0.24362060664419835,0.17091959557053443,0.3257101588830043,0.3175252768415985
119011357,9334,682,164,2203,1517,2188,172,2735,0.07306620955646025,0.017570173559031496,0.23601885579601456,0.16252410542104134,0.2930147846582387,0.32665523891150633
119011358,7685,619,193,2023,1262,1954,139,2445,0.08054651919323357,0.025113858165256995,0.26324007807417044,0.1642160052049447,0.31815224463240077,0.36890045543266103
119011359,11909,829,283,2852,2027,3595,208,4343,0.06961121840624737,0.02376354017969603,0.23948274414308507,0.17020740616340582,0.3646821731463599,0.3328575027290285
119011360,7225,548,149,1928,1202,1863,139,2274,0.0758477508650519,0.020622837370242213,0.26685121107266435,0.16636678200692043,0.31474048442906577,0.3633217993079585
119011361,7624,469,120,1881,1268,1889,179,2359,0.06151626442812172,0.015739769150052464,0.2467208814270724,0.16631689401888772,0.30941762854144805,0.3239769150052466
119011571,6778,765,122,1978,1114,1115,117,1448,0.11286515196223075,0.017999409855414577,0.2918264974918855,0.1643552670404249,0.2136323399232812,0.4226910593095308
119011572,6113,443,79,1632,1030,1095,116,1426,0.07246850973335514,0.01292327825944708,0.2669720268280713,0.16849337477506954,0.23327335187305742,0.35236381482087353
119021362,7941,648,155,2128,1384,1741,143,2190,0.08160181337363052,0.019518952273013476,0.2679763253998237,0.17428535448935903,0.2757839063090291,0.3690970910464677
119021363,13602,1675,279,4353,2323,2068,191,2683,0.12314365534480223,0.02051168945743273,0.3200264666960741,0.1707837082781944,0.19725040435230112,0.46368181149830906
119021364,10946,995,299,3138,1825,2278,155,2919,0.09090078567513246,0.027315914489311165,0.286680065777453,0.16672757171569524,0.2666727571715695,0.4048967659418966
119021366,7439,591,103,1805,1267,1625,144,2050,0.07944616211856433,0.01384594703589192,0.24264013980373705,0.17031859120849577,0.27557467401532465,0.3359322489581933
119021367,5720,439,93,1522,967,1346,99,1716,0.07674825174825174,0.016258741258741258,0.26608391608391607,0.16905594405594407,0.3,0.35909090909090907
119021573,6717,1119,139,2109,890,874,102,1157,0.16659222867351497,0.020693762096173886,0.31397945511389014,0.13249962781003424,0.1722495161530445,0.501265445883579
119021574,4273,638,90,1312,664,570,63,747,0.14930961853498712,0.021062485373274046,0.30704423121928387,0.15539433653171075,0.1748186285981746,0.47741633512754506
119031368,11757,2195,228,4275,1729,1287,93,1664,0.18669728672280345,0.01939270221995407,0.3636131666241388,0.14706132516798504,0.1415327039210683,0.5697031555668963
119031369,12517,1646,363,4128,1914,2289,168,2907,0.13150115842454263,0.02900055923943437,0.329791483582328,0.1529120396261085,0.23224414795877607,0.49029320124630504
119031370,6275,667,138,1982,1030,1128,87,1468,0.10629482071713148,0.02199203187250996,0.3158565737051793,0.1641434262948207,0.2339442231075697,0.44414342629482073
119031371,6830,892,245,2421,1040,1189,85,1557,0.13060029282576865,0.03587115666178624,0.35446559297218155,0.15226939970717424,0.2279648609077599,0.5209370424597365
119031372,8685,677,253,2342,1521,2143,141,2735,0.07795048934945308,0.02913068508923431,0.2696603339090386,0.17512953367875647,0.3149107656879678,0.37674150834772596
119031373,4961,531,95,1422,777,845,96,1132,0.10703487200161257,0.01914936504736948,0.28663575891957266,0.1566216488611167,0.22817980245918162,0.41281999596855473
119031374,12254,1798,289,4434,2026,1727,157,2291,0.14672759915129754,0.02358413579239432,0.3618410314999184,0.1653337685653664,0.18695936020891138,0.5321527664436102
119041375,11833,1840,295,4296,1695,1538,104,1928,0.15549733795318177,0.02493027972618947,0.3630524803515592,0.14324347164708864,0.1629341671596383,0.5434800980309304
119041376,12734,1449,269,3875,2040,2198,163,2813,0.11378985393434898,0.02112454845296058,0.3043034396104916,0.16020103659494267,0.22090466467724204,0.4392178419978012
119041377,5801,536,157,1830,1039,1149,103,1484,0.09239786243751077,0.02706429925874849,0.31546285123254614,0.179107050508533,0.2558179624202724,0.43492501292880537
119041378,6243,1021,144,2312,904,810,62,1027,0.16354316834855037,0.023065833733781835,0.3703347749479417,0.14480217843985263,0.16450424475412462,0.5569437770302739
119041379,8170,1054,196,2753,1400,1365,93,1747,0.12900856793145654,0.023990208078335372,0.33696450428396574,0.17135862913096694,0.2138310893512852,0.48996328029375763
119041380,7094,584,152,1911,1207,1413,114,1808,0.08232308993515647,0.021426557654355794,0.26938257682548633,0.17014378347899634,0.2548632647307584,0.3731322244149986
119041381,10758,1478,212,3639,1565,1449,122,1844,0.13738613125116192,0.01970626510503811,0.33825989960959285,0.14547313627068229,0.1714073247815579,0.4953522959657929
119041382,8044,602,183,2040,1430,1853,148,2423,0.07483838886126305,0.022749875683739432,0.2536051715564396,0.17777225261064147,0.30121829935355543,0.35119343610144205
120011383,11722,1487,412,3982,1846,1987,133,2606,0.12685548541204572,0.03514758573622249,0.3397031223340727,0.15748165842006484,0.22231701074901894,0.5017061934823409
120011384,14987,3310,397,6001,1834,1296,114,1696,0.22085807700006674,0.026489624341095617,0.4004136918662841,0.12237272302662307,0.11316474277707346,0.6477613932074464
120011385,10727,1460,459,3821,1517,1444,111,1911,0.13610515521581057,0.042789223454833596,0.3562039712874056,0.1414188496317703,0.17814859699822877,0.5350983499580498
120011386,11369,1397,443,3760,1718,1795,132,2350,0.12287800158325271,0.03896560823291406,0.33072389831999294,0.15111267481748614,0.2067024364499956,0.49256750813615974
120021387,10217,2037,510,4052,1153,757,65,1021,0.19937359303122248,0.04991680532445923,0.3965939121072722,0.11285113046882647,0.09993148673778995,0.6458843104629539
120021388,15978,2757,772,6236,1961,1660,146,2155,0.17254975591438226,0.048316435098260106,0.3902866441356866,0.12273125547627989,0.13487295030667168,0.611152835148329
120021389,8532,1468,390,3280,1069,918,51,1157,0.17205813408345053,0.04571026722925457,0.38443506797937177,0.12529301453352087,0.13560712611345524,0.6022034692920769
120031390,14510,2437,498,5464,1943,1515,118,1966,0.16795313576843557,0.03432115782219159,0.37656788421778087,0.13390764989662302,0.13549276361130255,0.578842177808408
120031391,13281,2396,369,5200,1832,1277,119,1707,0.1804081017995633,0.02778405240569234,0.39153678186883517,0.13794142007378962,0.12852947820194263,0.5997289360740908
120031392,5524,758,232,1836,833,928,56,1158,0.13721940622737147,0.041998551774076756,0.332367849384504,0.15079652425778423,0.20963070238957277,0.5115858073859522
120031393,8590,1000,268,2808,1313,1594,121,2022,0.11641443538998836,0.03119906868451688,0.3268917345750873,0.1528521536670547,0.23538998835855646,0.47450523864959254
120031394,9945,1461,540,3487,1309,1362,121,1692,0.1469079939668175,0.05429864253393665,0.3506284565108094,0.13162393162393163,0.17013574660633485,0.5518350930115636
120031395,7653,1267,326,2871,1003,953,70,1228,0.1655559911145956,0.04259767411472625,0.3751470011760094,0.13105971514438783,0.16045995034626945,0.5833006664053313
120031396,9393,1808,226,3482,1181,798,74,1043,0.1924837645054828,0.02406047056318535,0.37070158628766103,0.12573192803151284,0.11104013627169168,0.5872458213563292
120031575,14222,2493,355,6123,1742,1117,97,1520,0.1752918014343974,0.02496132752074251,0.4305301645338208,0.12248628884826325,0.10687666994796793,0.6307832934889608
120031576,1806,225,61,626,285,301,31,383,0.12458471760797342,0.033776301218161685,0.34662236987818384,0.15780730897009967,0.21207087486157253,0.5049833887043189
121011398,16726,3369,578,7196,2050,1077,105,1514,0.20142293435370082,0.03455697716130575,0.4302283869424848,0.12256367332297023,0.0905177567858424,0.6662082984574913
121011399,12943,2528,499,5377,1714,1116,80,1523,0.19531793247315152,0.03855365834814185,0.41543691570733216,0.13242679440624275,0.11766978289422854,0.6493085065286255
121011400,16065,3195,737,6895,1951,1233,119,1748,0.19887955182072828,0.045876128229069404,0.42919389978213507,0.1214441332088391,0.10880796763149704,0.6739495798319328
121011401,7142,1485,291,3086,808,499,38,662,0.20792495099411928,0.04074488938672641,0.43209185102212266,0.1131335760291235,0.09269112293475217,0.6807616914029684
121011402,14153,2489,612,6099,1891,1127,136,1677,0.17586377446477777,0.04324171553734191,0.43093337101674556,0.13361124849855155,0.11849077934006924,0.6500388610188652
121021403,9870,1092,396,3087,1695,2146,174,2748,0.11063829787234042,0.04012158054711246,0.3127659574468085,0.1717325227963526,0.278419452887538,0.4635258358662614
121021404,6267,628,252,1809,1069,1539,98,1926,0.10020743577469284,0.040210627094303494,0.28865485878410724,0.17057603318972395,0.30732407850646243,0.42907292165310357
121021406,10178,1640,481,3744,1506,1279,133,1811,0.1611318530163097,0.04725879347612497,0.36785223030064845,0.14796620161131854,0.1779327962271566,0.5762428767930832
121021577,6845,1328,238,2722,970,726,56,950,0.19401022644265886,0.03476990504017531,0.3976625273922571,0.14170927684441198,0.13878743608473337,0.6264426588750913
121021578,6045,934,253,2032,947,906,58,1149,0.15450785773366418,0.04185277088502895,0.33614557485525226,0.1566583953680728,0.1900744416873449,0.5325062034739454
121021579,5740,1138,219,2282,733,505,51,698,0.19825783972125435,0.03815331010452962,0.3975609756097561,0.12770034843205574,0.121602787456446,0.63397212543554
121031407,12459,2681,456,5502,1422,664,92,1074,0.21518580945501245,0.0366000481579581,0.44160847580062607,0.11413436070310619,0.08620274500361184,0.6933943334135966
121031408,13361,2782,600,5949,1650,791,72,1198,0.20821794775840133,0.044906818351919765,0.44525110395928447,0.12349375046777936,0.08966394730933314,0.6983758700696056
121031409,9207,1957,458,4032,1170,574,54,869,0.2125556641685674,0.04974475942217878,0.43792766373411535,0.1270772238514174,0.09438470728793309,0.7002280873248615
121031410,11560,2156,455,4737,1746,892,82,1368,0.18650519031141868,0.0393598615916955,0.4097750865051903,0.15103806228373703,0.11833910034602076,0.6356401384083045
121031411,11209,1943,515,4464,1604,897,72,1391,0.17334284949594075,0.04594522258899099,0.398251405120885,0.1430992952092069,0.12409670800249799,0.6175394772058167
121031412,10342,1823,453,4260,1417,798,99,1214,0.17627151421388512,0.043801972539160704,0.4119125894411139,0.1370141171920325,0.11738541868110616,0.6319860761941597
121041413,12810,2223,588,5437,1713,906,94,1319,0.17353629976580795,0.04590163934426229,0.42443403590944573,0.13372365339578454,0.1029664324746292,0.643871975019516
121041414,12804,2508,594,5551,1552,831,94,1173,0.1958762886597938,0.04639175257731959,0.43353639487660106,0.12121212121212122,0.09161199625117152,0.6758044361137144
121041415,17816,3317,723,7415,2308,1070,119,1632,0.18618096093399192,0.04058149977548271,0.4161989223170184,0.12954647507858105,0.0916030534351145,0.6429613830264931
121041416,12854,2309,529,5471,1540,814,75,1174,0.17963279912867589,0.0411545044344173,0.42562626419791505,0.1198070639489653,0.09133343706239302,0.6464135677610082
121041417,7912,1667,318,3345,829,398,47,582,0.21069261880687562,0.04019211324570273,0.42277553083923153,0.10477755308392316,0.07355915065722952,0.6736602628918099
122011418,11287,1578,491,4648,1693,1188,88,1678,0.13980685744662,0.04350137326127403,0.41180118720652076,0.14999557012492248,0.14866660760166564,0.5951094179144149
122011419,14571,2299,544,5948,1875,1295,116,1750,0.15777915036716766,0.03733443140484524,0.4082080845515064,0.12868025530162652,0.12010157161485142,0.6033216663235194
122021420,6983,670,273,2220,1326,1295,77,1672,0.0959473005871402,0.0390949448661034,0.31791493627380785,0.18988973220678793,0.23943863668910212,0.4529571817270514
122021421,6087,574,197,1749,1095,1169,74,1520,0.09429932643338262,0.03236405454246755,0.287333661902415,0.17989157220305568,0.24971250205355677,0.41399704287826516
122021422,7489,695,278,2393,1450,1535,108,1970,0.0928027774068634,0.03712111096274536,0.31953531846708505,0.1936173053812258,0.26305247696621714,0.4494592068366938
122021423,13014,989,400,3491,2329,3110,176,3867,0.07599508221914861,0.030736130321192563,0.2682495773782081,0.1789611187951437,0.2971415398801291,0.3749807899185493
122031424,6878,520,195,1873,1193,1708,113,2139,0.0756033730735679,0.02835126490258796,0.27231753416690896,0.1734515847630125,0.31099156731608024,0.37627217214306485
122031425,3820,243,102,948,760,1008,60,1263,0.06361256544502618,0.026701570680628273,0.2481675392670157,0.19895287958115182,0.3306282722513089,0.33848167539267016
122031426,14153,1275,430,4444,2440,2847,237,3604,0.0900869073694623,0.03038225111283827,0.3139970324312866,0.17240161096587295,0.25464565816434676,0.43446619091358724
122031427,6504,883,269,2349,1070,992,65,1298,0.13576260762607625,0.04135916359163592,0.36116236162361626,0.1645141451414514,0.19956949569495694,0.5382841328413284
122031428,13129,1338,461,4212,2470,2382,184,3203,0.10191179830908675,0.03511310838601569,0.32081651306268566,0.18813314037626627,0.24396374438266433,0.4578414197577881
122031429,12230,1408,425,4363,1938,2068,125,2588,0.11512673753066231,0.034750613246116106,0.35674570727718724,0.15846279640228944,0.2116107931316435,0.5066230580539657
122031430,9068,951,372,3010,1496,1690,96,2116,0.104874283193648,0.04102337891486546,0.33193647992942216,0.16497573886193206,0.2333480370533745,0.4778341420379356
122031431,13970,1010,445,3895,2379,3150,191,3967,0.07229778095919828,0.03185397279885469,0.2788117394416607,0.17029348604151753,0.28396564065855406,0.3829634931997137
122031432,1929,176,67,556,329,432,20,536,0.09123898392949716,0.03473302229134267,0.288232244686366,0.17055469155002592,0.27786417833074134,0.4142042509072058
123011433,6485,342,197,1311,1044,2158,93,2537,0.05273708558211257,0.03037779491133385,0.20215882806476485,0.1609868928296068,0.39121048573631456,0.28527370855821127
123011434,9284,477,261,1911,1702,3252,228,3820,0.0513787160706592,0.02811288237828522,0.20583800086169754,0.18332615252046533,0.4114605773373546,0.28532959931064195
123011435,12165,605,284,2372,2283,4604,290,5385,0.049732840115084255,0.023345663789560215,0.1949856144677353,0.18766954377311962,0.44266337854500615,0.26806411837237976
123021436,7316,266,116,1025,1145,2813,220,3373,0.036358665937670856,0.015855658829961726,0.14010388190267906,0.15650628758884635,0.4610442864953527,0.19231820667031166
123021437,8155,522,156,1752,1285,2326,200,2845,0.06400980993255671,0.01912936848559166,0.21483752299202943,0.15757204169221337,0.34886572654813,0.2979767014101778
123021438,8157,307,130,1272,1372,3011,239,3643,0.037636385926198355,0.015937231825426015,0.1559396837072453,0.16819909280372686,0.44661027338482284,0.20951330145886968
123021439,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
123021440,9277,886,183,2367,1387,2387,184,2909,0.09550501239624878,0.019726204592001726,0.25514713808343215,0.14950953972189285,0.31357119758542634,0.37037835507168265
123021441,7174,403,133,1221,1154,2614,186,3135,0.056175076665737386,0.018539169222191246,0.1701979369947031,0.160858656258712,0.43699470309450794,0.24491218288263172
123021442,10435,1230,173,2418,1481,2455,225,3055,0.11787254432199329,0.01657882127455678,0.23172017249640633,0.1419262098706277,0.29276473406804027,0.3661715380929564
123021443,8102,703,148,1719,1313,2375,205,2934,0.08676869908664528,0.0182670945445569,0.2121698346087386,0.16205875092569735,0.3621328067143915,0.31720562823994075
123021444,8635,358,173,1437,1394,2948,235,3609,0.041459177764910246,0.020034742327735958,0.1664157498552403,0.1614360162130863,0.41795020266357846,0.2279096699478865
123031445,2527,70,47,285,389,1142,66,1329,0.027700831024930747,0.018599129402453504,0.11278195488721804,0.15393747526711515,0.5259200633161852,0.1590819153146023
123031446,4639,202,118,821,793,1831,87,2085,0.04354386721276137,0.02543651649062298,0.17697779693899549,0.17094201336494935,0.4494503125673637,0.24595818064237981
123031447,7827,321,166,1087,1148,3068,207,3613,0.04101188194710617,0.021208636770154592,0.13887824198287976,0.14667177718155103,0.4616072569311358,0.20109876070014054
123031448,4231,205,86,624,627,1754,110,2046,0.04845190262349326,0.020326164027416688,0.1474828645710234,0.14819191680453794,0.4835736232569133,0.21626093122193335
124011449,3237,328,148,852,520,723,56,909,0.10132839048501699,0.0457213469261662,0.2632066728452271,0.1606425702811245,0.2808155699721965,0.41025641025641024
124011450,10443,1057,528,2927,1755,2623,170,3206,0.10121612563439625,0.05056018385521402,0.2802834434549459,0.1680551565642057,0.306999904242076,0.4320597529445562
124011451,10,0,0,3,0,4,0,4,0.0,0.0,0.3,0.0,0.4,0.3
124011452,7809,787,331,1915,1296,1602,140,2035,0.10078114995517992,0.04238698937123832,0.24522986297861443,0.16596235113330773,0.2605967473428096,0.38839800230503263
124011453,6139,554,305,1504,1077,1765,95,2072,0.09024271053917576,0.04968235869034045,0.2449910408861378,0.17543573871966117,0.33751425313568983,0.384916110115654
124011454,11637,1067,536,2879,2124,3168,194,3858,0.09169029818681791,0.04605998109478388,0.2474005327833634,0.18252126836813612,0.331528744521784,0.3851508120649652
124011455,3536,387,178,932,575,754,47,966,0.10944570135746606,0.050339366515837106,0.26357466063348417,0.1626131221719457,0.27319004524886875,0.4233597285067873
124021456,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
124031457,6384,226,82,846,954,2785,189,3297,0.03540100250626566,0.012844611528822054,0.1325187969924812,0.14943609022556392,0.5164473684210527,0.18076441102756893
124031458,10188,580,205,1895,1672,3833,223,4415,0.0569297212406753,0.02012171181782489,0.18600314095013742,0.16411464468001571,0.4333529642716922,0.26305457400863763
124031459,6690,406,196,1233,1110,2305,129,2720,0.06068759342301943,0.02929745889387145,0.184304932735426,0.16591928251121077,0.40657698056801195,0.2742899850523169
124031460,9142,564,231,1969,1746,3150,182,3666,0.06169328374535113,0.02526799387442573,0.21537956683439072,0.19098665499890616,0.40100634434478233,0.3023408444541676
124031461,7465,348,157,1218,1153,2877,175,3385,0.04661754855994642,0.02103148024112525,0.16316141995981245,0.15445411922304086,0.4534494306764903,0.23081044876088413
124031462,8530,634,180,1721,1239,2728,219,3258,0.07432590855803048,0.021101992966002344,0.20175849941383353,0.14525205158264948,0.3819460726846424,0.29718640093786636
124031463,4399,246,85,894,695,1505,77,1767,0.0559218004091839,0.01932257331211639,0.20322800636508298,0.1579904523755399,0.40168220050011366,0.27847238008638325
124031464,6257,403,131,1112,893,1875,158,2313,0.06440786319322359,0.020936551062809654,0.17772095253316286,0.14272015342816047,0.36966597410899793,0.2630653667891961
124031465,2245,68,24,300,318,1033,53,1190,0.030289532293986638,0.010690423162583519,0.133630289532294,0.14164810690423163,0.5300668151447662,0.17461024498886416
124041466,6434,313,150,1035,1038,2250,146,2702,0.048647808517252096,0.023313646254274168,0.16086415915449176,0.16133043207957726,0.4199564811936587,0.23282561392601803
124041467,6548,225,125,919,980,2817,188,3296,0.03436163714111179,0.01908979841172877,0.14034819792302994,0.14966401954795358,0.5033598045204642,0.1937996334758705
124041468,3701,79,37,299,343,1257,61,1416,0.021345582275060795,0.009997298027560119,0.08078897595244529,0.09267765468792219,0.38259929748716565,0.11213185625506619
124051469,2785,125,42,547,444,1117,66,1302,0.04488330341113106,0.015080789946140035,0.1964093357271095,0.15942549371633752,0.46750448833034114,0.2563734290843806
124051470,8262,346,128,1460,1307,3184,203,3774,0.04187847978697652,0.015492616799806342,0.1767126603727911,0.15819414185427258,0.4567901234567901,0.23408375695957395
124051580,4317,162,69,583,609,1632,116,1960,0.037526059763724806,0.015983321751216122,0.1350474866805652,0.14107018763029883,0.45401899467222606,0.18855686819550613
124051581,6462,266,74,934,849,2062,199,2497,0.041163726400495204,0.01145156298359641,0.14453729495512224,0.13138347260909936,0.38641287527081397,0.19715258433921387
125011473,12117,1800,299,3863,1344,1015,82,1330,0.14855162168853678,0.024676074936040272,0.31880828587934307,0.11091854419410745,0.1097631426920855,0.4920359825039201
125011475,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
125011582,6275,802,90,1899,1037,880,87,1150,0.12780876494023904,0.014342629482071713,0.30262948207171314,0.1652589641434263,0.18326693227091634,0.4447808764940239
125011583,4640,675,82,1506,722,492,66,660,0.14547413793103448,0.01767241379310345,0.3245689655172414,0.15560344827586206,0.14224137931034483,0.4877155172413793
125011584,2943,261,55,846,484,519,50,664,0.08868501529051988,0.018688413183826028,0.2874617737003058,0.16445803601766903,0.2256201155283724,0.39483520217465173
