sa2_maincode_2016,p_tot_total,p_pgrad_deg_total,p_graddip_and_gradcert_total,p_bachdeg_total,p_advdip_and_dip_total,p_cert_iii_iv_total,p_cert_i_ii_total,p_cert_lev_tot_total,post_grad_degree_percent,post_grad_dip_cert_percent,bach_degree_percent,diploma_percent,certificate_percent,bach_post_grad_percent
103021069,2485,36,38,317,247,839,80,1023,0.01448692152917505,0.015291750503018108,0.12756539235412476,0.09939637826961771,0.41167002012072434,0.1573440643863179
103031070,5840,121,108,656,638,2136,176,2550,0.020719178082191782,0.018493150684931507,0.11232876712328767,0.10924657534246575,0.4366438356164384,0.15154109589041095
103031071,4072,111,75,454,510,1467,112,1741,0.02725933202357564,0.018418467583497054,0.11149312377210216,0.12524557956777996,0.4275540275049116,0.15717092337917485
103031072,5402,136,122,907,663,1980,162,2347,0.025175860792299148,0.022584228063680118,0.16790077748981858,0.12273232136245835,0.4344687152906331,0.21566086634579784
103031073,1549,34,21,168,164,568,44,678,0.02194964493221433,0.01355713363460297,0.10845706907682376,0.10587475790832795,0.43770174306003873,0.14396384764364106
103031074,4848,100,90,601,544,1737,132,2074,0.020627062706270627,0.018564356435643563,0.12396864686468646,0.11221122112211221,0.4278052805280528,0.16316006600660066
103031075,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
103041076,3332,112,85,547,424,1193,84,1432,0.03361344537815126,0.025510204081632654,0.1641656662665066,0.12725090036014405,0.4297719087635054,0.22328931572629052
103041077,8883,427,241,1763,1196,2649,247,3266,0.04806934594168637,0.027130473938984576,0.19846898570302826,0.1346391984689857,0.3676685804345379,0.2736688055836992
103041078,9242,516,311,2015,1364,3121,208,3693,0.05583207098030729,0.03365072495130924,0.2180264012118589,0.1475871023587968,0.39958883358580394,0.30750919714347547
103041079,5548,272,133,1097,826,1814,145,2221,0.049026676279740444,0.023972602739726026,0.19772891131939438,0.14888248017303532,0.40032444124008654,0.27072819033886086
104011080,8171,170,152,1063,986,2966,268,3631,0.02080528699057643,0.01860237425039775,0.1300942357116632,0.12067066454534328,0.4443764533104883,0.16950189695263737
104011081,7142,183,148,848,916,2769,186,3309,0.025623074768972277,0.02072248669840381,0.11873424810977318,0.12825539064687763,0.4633155978717446,0.16507980957714927
104011082,8023,219,195,1194,1087,2875,202,3482,0.027296522497818772,0.024305122772030414,0.14882213635797084,0.1354854792471644,0.43400224354979433,0.20042378162782
104021083,3084,200,126,784,506,788,69,974,0.0648508430609598,0.04085603112840467,0.25421530479896237,0.16407263294422827,0.3158236057068742,0.35992217898832685
