sa2_maincode_2016,unemployment_mar_19,unemployment_jun_19
210031439,0.0,0.0
210031440,0.0,0.0
210041240,3.2,3.5
210041241,4.0,4.3
210051242,19.2,19.8
210051243,15.7,16.0
210051245,5.7,5.9
210051246,0.0,0.0
210051247,18.3,19.1
210051248,0.6,0.6
210051249,12.1,12.6
210051250,7.4,7.9
210051441,0.0,0.0
210051442,0.0,0.0
210051443,0.0,0.0
210051444,0.0,0.0
210051445,0.0,0.0
211011251,5.5,4.9
211011254,3.3,2.9
211011255,1.8,1.6
211011256,2.9,2.6
211011257,2.7,2.5
211011258,2.2,2.0
211011259,3.2,2.9
211011260,3.0,2.6
211011446,0.0,0.0
211011447,0.0,0.0
211011448,0.0,0.0
211011449,0.0,0.0
211021261,1.9,1.7
211021262,1.4,1.2
211031263,4.4,4.0
211031265,2.1,2.0
211031266,5.8,5.5
211031267,4.3,4.2
211031268,1.7,1.6
211031450,0.0,0.0
211031451,0.0,0.0
211031452,0.0,0.0
211041269,3.6,3.3
211041270,2.9,2.6
211041271,3.0,2.8
211041272,2.5,2.1
211041273,2.0,1.8
211051274,3.7,3.2
211051275,3.5,3.2
211051276,4.7,4.2
211051277,4.9,4.4
211051278,4.2,3.7
211051279,3.1,2.6
211051280,3.4,3.0
211051281,4.7,4.4
211051282,3.0,2.5
211051283,3.2,3.0
211051284,3.2,2.9
211051285,2.9,2.5
211051286,7.4,6.5
212011287,3.1,3.3
212011288,3.4,3.4
212011289,2.9,2.8
212011290,4.4,4.2
212011291,6.6,6.4
212011292,6.9,6.9
212021293,3.1,3.0
212021294,3.2,3.1
212021295,13.2,12.9
212021297,8.3,8.2
212021299,1.7,1.8
212021453,0.0,0.0
212021454,0.0,0.0
212021455,0.0,0.0
212021456,0.0,0.0
212031300,9.6,9.6
212031301,3.6,3.9
212031302,5.4,5.3
212031303,3.0,3.0
212031304,5.1,5.2
212031305,8.3,8.5
212031306,3.1,3.2
212031308,3.8,3.7
212031457,0.0,0.0
212031458,0.0,0.0
212041309,3.7,3.6
212041310,3.7,3.5
212041311,12.9,12.8
212041312,8.4,8.1
212041313,2.2,2.1
212041314,3.7,3.6
212041316,6.5,6.2
212041317,7.1,6.7
212041318,6.9,6.7
212041459,0.0,0.0
212041460,0.0,0.0
212051319,3.9,3.6
212051320,2.4,2.3
212051321,2.2,2.2
212051322,2.2,2.1
212051323,2.0,1.8
